image,image_data,object_info,actr_data,actr_data_processed
000000001455.jpg,"[['bottle', 99.1882622241974, 1015, 899, 282, 39]]","[['bottle', 99.1882622241974, 957, 160, 28188, 3.194276028966363]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 957, screen_y= 160, value= ), value= 0) [0.6198]']","[[957, 160, 0.6198]]"
000000009527.jpg,"[['laptop', 99.87344741821288, 1098, 680, 765, 351], ['bottle', 96.95888757705687, 320, 244, 520, 277], ['cup', 67.47695803642273, 1246, 1125, 560, 446], ['cup', 96.900475025177, 410, 323, 567, 430], ['bowl', 93.57608556747437, 455, 238, 785, 628], ['remote', 79.69583272933959, 265, 134, 802, 679], ['mouse', 99.68901872634888, 1188, 1088, 691, 613]]","[['laptop', 99.87344741821288, 889, 558, 173052, 3.1192144182343227], ['bottle', 96.95888757705687, 282, 398, 18468, 3.252826798416718], ['cup', 67.47695803642273, 1185, 503, 13794, 2.7901708049228238], ['cup', 96.900475025177, 366, 498, 11919, 3.2261767726201374], ['bowl', 93.57608556747437, 346, 706, 34069, 3.13425873363276], ['remote', 79.69583272933959, 199, 740, 16113, 3.0069585896355995], ['mouse', 99.68901872634888, 1138, 652, 7800, 3.059453127143189]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 282, screen_y= 398, value= ), value= 2) [0.566]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 366, screen_y= 498, value= None), value= 5) [0.9769]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 346, screen_y= 706, value= None), value= 1) [1.5817]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 199, screen_y= 740, value= None), value= 3) [1.9779]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 889, screen_y= 558, value= None), value= 0) [2.5676]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1138, screen_y= 652, value= None), value= 6) [3.0607]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1185, screen_y= 503, value= None), value= 4) [3.5816]']","[[282, 398, 0.566], [366, 498, 0.9769], [346, 706, 1.5817], [199, 740, 1.9779], [889, 558, 2.5676], [1138, 652, 3.0607], [1185, 503, 3.5816]]"
000000018658.jpg,"[['tvmonitor', 99.24421310424805, 1161, 573, 687, 270], ['tvmonitor', 97.624409198761, 1583, 1139, 756, 244], ['pottedplant', 92.8248405456543, 349, 134, 264, 7], ['bottle', 96.88236117362976, 268, 138, 1001, 639]]","[['tvmonitor', 99.24421310424805, 867, 478, 245196, 3.166176279195481], ['tvmonitor', 97.624409198761, 1361, 500, 227328, 3.211285267071647], ['pottedplant', 92.8248405456543, 241, 135, 55255, 2.9777198441219688], ['bottle', 96.88236117362976, 203, 820, 47060, 2.9712918268170365]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 241, screen_y= 135, value= ), value= 2) [0.5052]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 203, screen_y= 820, value= None), value= 3) [0.9886]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 867, screen_y= 478, value= None), value= 0) [1.4503]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1361, screen_y= 500, value= None), value= 1) [2.0839]']","[[241, 135, 0.5052], [203, 820, 0.9886], [867, 478, 1.4503], [1361, 500, 2.0839]]"
000000019544.jpg,"[['tvmonitor', 98.55391383171082, 1040, 645, 518, 232], ['laptop', 98.98979663848877, 1553, 1147, 786, 352], ['chair', 97.70632982254028, 1153, 201, 1077, 791], ['laptop', 99.77403283119202, 674, 342, 549, 243], ['bottle', 88.54576349258423, 336, 254, 568, 376], ['cup', 61.75549030303955, 604, 525, 616, 469], ['keyboard', 94.73657608032228, 1048, 560, 668, 561], ['remote', 84.84733700752257, 332, 237, 629, 572], ['mouse', 99.20946955680849, 1166, 1105, 689, 625]]","[['tvmonitor', 98.55391383171082, 842, 375, 112970, 3.1132787756486167], ['laptop', 98.98979663848877, 1350, 569, 176204, 2.968278517588465], ['chair', 97.70632982254028, 677, 934, 272272, 3.1428759378080224], ['laptop', 99.77403283119202, 508, 396, 101592, 2.991042469005737], ['bottle', 88.54576349258423, 295, 472, 15744, 3.098296332564762], ['cup', 61.75549030303955, 564, 542, 11613, 2.7003516157908054], ['keyboard', 94.73657608032228, 804, 614, 52216, 2.826303359030687], ['remote', 84.84733700752257, 284, 600, 5415, 3.209863513726433], ['mouse', 99.20946955680849, 1135, 657, 3904, 3.115528683895082]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 295, screen_y= 472, value= ), value= 5) [0.7432]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 284, screen_y= 600, value= None), value= 7) [1.2595]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 564, screen_y= 542, value= None), value= 6) [1.7121]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 508, screen_y= 396, value= None), value= 3) [2.0747]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 842, screen_y= 375, value= None), value= 2) [2.5282]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 804, screen_y= 614, value= None), value= 4) [3.1187]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1135, screen_y= 657, value= None), value= 8) [3.5772]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1350, screen_y= 569, value= None), value= 1) [4.0222]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 677, screen_y= 934, value= None), value= 0) [4.5594]']","[[295, 472, 0.7432], [284, 600, 1.2595], [564, 542, 1.7121], [508, 396, 2.0747], [842, 375, 2.5282], [804, 614, 3.1187], [1135, 657, 3.5772], [1350, 569, 4.0222], [677, 934, 4.5594]]"
000000021190.jpg,"[['tvmonitor', 99.53977465629578, 1137, 484, 746, 377], ['keyboard', 98.1977641582489, 1124, 471, 1000, 834], ['bottle', 99.71867799758913, 1592, 1487, 1026, 720], ['remote', 92.17819571495056, 1361, 1118, 774, 732], ['mouse', 81.23153448104857, 1227, 1132, 899, 846]]","[['tvmonitor', 99.53977465629578, 810, 561, 240957, 3.170271367526889], ['keyboard', 98.1977641582489, 797, 917, 108398, 3.069453112934428], ['bottle', 99.71867799758913, 1539, 873, 32130, 3.1396373250621954], ['remote', 92.17819571495056, 1239, 753, 10206, 3.107240655348708], ['mouse', 81.23153448104857, 1179, 872, 5035, 3.006985913095439]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 810, screen_y= 561, value= ), value= 0) [0.6967]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 797, screen_y= 917, value= None), value= 1) [1.3549]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1179, screen_y= 872, value= None), value= 4) [1.8151]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1239, screen_y= 753, value= None), value= 3) [2.2666]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1539, screen_y= 873, value= None), value= 2) [2.8861]']","[[810, 561, 0.6967], [797, 917, 1.3549], [1179, 872, 1.8151], [1239, 753, 2.2666], [1539, 873, 2.8861]]"
000000023906.jpg,"[['diningtable', 99.59462285041808, 1518, 159, 1030, 121], ['wine glass', 98.238867521286, 1535, 1275, 531, 59]]","[['diningtable', 99.59462285041808, 838, 575, 1235331, 3.087828576861508], ['wine glass', 98.238867521286, 1405, 295, 122720, 3.081564905065558]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 838, screen_y= 575, value= ), value= 0) [0.6212]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1405, screen_y= 295, value= None), value= 1) [1.2109]']","[[838, 575, 0.6212], [1405, 295, 1.2109]]"
000000024823.jpg,"[['refrigerator', 99.04040694236755, 1355, 936, 990, 116], ['bottle', 76.60084366798402, 615, 527, 503, 230], ['sink', 92.90285110473631, 1064, 590, 546, 446]]","[['refrigerator', 99.04040694236755, 1145, 553, 366206, 3.0428763837466257], ['bottle', 76.60084366798402, 571, 366, 24024, 2.996171833412965], ['sink', 92.90285110473631, 827, 496, 47400, 2.9206086456646987]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 571, screen_y= 366, value= ), value= 2) [0.5873]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 827, screen_y= 496, value= None), value= 1) [1.1895]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1145, screen_y= 553, value= None), value= 0) [1.5402]']","[[571, 366, 0.5873], [827, 496, 1.1895], [1145, 553, 1.5402]]"
000000026454.jpg,"[['bottle', 68.04409623146057, 646, 445, 680, 425]]","[['bottle', 68.04409623146057, 545, 552, 51255, 2.934236612605947]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 545, screen_y= 552, value= ), value= 0) [0.6032]']","[[545, 552, 0.6032]]"
000000026564.jpg,"[['tvmonitor', 99.91258382797241, 1053, 671, 594, 264], ['laptop', 99.81967210769652, 1506, 1107, 804, 545], ['book', 64.70358967781067, 323, 246, 674, 454], ['book', 81.29187822341919, 398, 319, 664, 466], ['book', 78.27689647674559, 463, 390, 667, 454], ['book', 96.347975730896, 514, 425, 683, 434], ['book', 79.34567332267761, 278, 211, 681, 483], ['keyboard', 93.70388984680176, 1032, 616, 825, 715], ['book', 69.92892026901245, 319, 290, 680, 480], ['book', 63.64030838012695, 419, 386, 666, 489], ['mouse', 93.12873482704164, 1125, 1060, 755, 701], ['mouse', 96.84153199195862, 1206, 1090, 910, 817]]","[['tvmonitor', 99.91258382797241, 862, 429, 126060, 3.3291524269850834], ['laptop', 99.81967210769652, 1306, 674, 103341, 2.957536752527971], ['book', 64.70358967781067, 284, 564, 16940, 2.746869314793252], ['book', 81.29187822341919, 358, 565, 15642, 2.864216181184545], ['book', 78.27689647674559, 426, 560, 15549, 2.794917318167249], ['book', 96.347975730896, 469, 558, 22161, 3.173239153371946], ['book', 79.34567332267761, 244, 582, 13266, 3.0188219341657305], ['keyboard', 93.70388984680176, 824, 770, 45760, 3.1572764276864427], ['book', 69.92892026901245, 304, 580, 5800, 2.8699005029352884], ['book', 63.64030838012695, 402, 577, 5841, 2.61489261222682], ['mouse', 93.12873482704164, 1092, 728, 3510, 3.1827964036810608], ['mouse', 96.84153199195862, 1148, 863, 10788, 3.0273667755140234]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 284, screen_y= 564, value= ), value= 4) [0.5229]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 304, screen_y= 580, value= None), value= 10) [0.8445]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 358, screen_y= 565, value= None), value= 5) [1.2136]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 402, screen_y= 577, value= None), value= 9) [1.5497]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 426, screen_y= 560, value= None), value= 6) [1.8288]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 469, screen_y= 558, value= None), value= 3) [2.1286]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 244, screen_y= 582, value= None), value= 7) [2.5349]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 824, screen_y= 770, value= None), value= 2) [2.9974]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1092, screen_y= 728, value= None), value= 11) [3.5258]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1148, screen_y= 863, value= None), value= 8) [3.938]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1306, screen_y= 674, value= None), value= 1) [4.4399]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 862, screen_y= 429, value= None), value= 0) [5.0145]']","[[284, 564, 0.5229], [304, 580, 0.8445], [358, 565, 1.2136], [402, 577, 1.5497], [426, 560, 1.8288], [469, 558, 2.1286], [244, 582, 2.5349], [824, 770, 2.9974], [1092, 728, 3.5258], [1148, 863, 3.938], [1306, 674, 4.4399], [862, 429, 5.0145]]"
000000030947.jpg,"[['tvmonitor', 99.71402883529665, 1472, 1043, 538, 197], ['keyboard', 99.76726770401, 1452, 839, 773, 571], ['book', 62.11938858032226, 489, 127, 768, 594], ['book', 69.71911191940308, 222, 144, 561, 306], ['book', 64.74874019622803, 255, 180, 558, 307], ['book', 77.00523138046266, 327, 253, 554, 303], ['book', 70.65674662590027, 393, 319, 555, 305], ['bottle', 85.94664335250854, 1533, 1452, 650, 452], ['mouse', 88.24628591537477, 1523, 1422, 761, 634], ['remote', 78.94550561904906, 536, 444, 865, 706]]","[['tvmonitor', 99.71402883529665, 1257, 367, 146289, 3.0891986547727996], ['keyboard', 99.76726770401, 1145, 672, 123826, 3.2197661916347182], ['book', 62.11938858032226, 308, 681, 62988, 2.8044392759425127], ['book', 69.71911191940308, 183, 433, 19890, 2.730681535290016], ['book', 64.74874019622803, 217, 432, 18825, 2.8781829413560303], ['book', 77.00523138046266, 290, 428, 18574, 3.0397005131623027], ['book', 70.65674662590027, 356, 430, 18500, 2.8599494167456916], ['bottle', 85.94664335250854, 1492, 551, 16038, 2.9527708279254097], ['mouse', 88.24628591537477, 1472, 697, 12827, 2.973006688844], ['remote', 78.94550561904906, 490, 785, 14628, 2.949679543011786]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 290, screen_y= 428, value= ), value= 5) [0.576]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 356, screen_y= 430, value= None), value= 6) [0.9122]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 217, screen_y= 432, value= None), value= 4) [1.2839]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 183, screen_y= 433, value= None), value= 3) [1.5144]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 308, screen_y= 681, value= None), value= 2) [2.0095]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 490, screen_y= 785, value= None), value= 8) [2.4659]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1145, screen_y= 672, value= None), value= 1) [2.9913]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1257, screen_y= 367, value= None), value= 0) [3.6072]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1492, screen_y= 551, value= None), value= 7) [4.1244]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1472, screen_y= 697, value= None), value= 9) [4.6543]']","[[290, 428, 0.576], [356, 430, 0.9122], [217, 432, 1.2839], [183, 433, 1.5144], [308, 681, 2.0095], [490, 785, 2.4659], [1145, 672, 2.9913], [1257, 367, 3.6072], [1492, 551, 4.1244], [1472, 697, 4.6543]]"
