image,image_data,object_info,actr_data,actr_data_processed
000000001455.jpg,"[['bottle', 99.1882622241974, 1015, 899, 282, 39]]","[['bottle', 99.1882622241974, 957, 160, 28188, 3.0503550433895965]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 957, screen_y= 160, value= ), value= 0) [0.6967]']","[[957, 160, 0.6967]]"
000000009527.jpg,"[['laptop', 99.87344741821288, 1098, 680, 765, 351], ['bottle', 96.95888757705687, 320, 244, 520, 277], ['cup', 67.47695803642273, 1246, 1125, 560, 446], ['cup', 96.900475025177, 410, 323, 567, 430], ['bowl', 93.57608556747437, 455, 238, 785, 628], ['remote', 79.69583272933959, 265, 134, 802, 679], ['mouse', 99.68901872634888, 1188, 1088, 691, 613]]","[['laptop', 99.87344741821288, 889, 558, 173052, 3.1517795277946488], ['bottle', 96.95888757705687, 282, 398, 18468, 2.9766597974657754], ['cup', 67.47695803642273, 1185, 503, 13794, 2.8830206922876283], ['cup', 96.900475025177, 366, 498, 11919, 2.8615256016472914], ['bowl', 93.57608556747437, 346, 706, 34069, 3.090652845620597], ['remote', 79.69583272933959, 199, 740, 16113, 3.0396920976709207], ['mouse', 99.68901872634888, 1138, 652, 7800, 3.0867235689433197]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 282, screen_y= 398, value= ), value= 2) [0.6349]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 366, screen_y= 498, value= None), value= 5) [1.0876]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 346, screen_y= 706, value= None), value= 1) [1.5571]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 199, screen_y= 740, value= None), value= 3) [1.9716]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 889, screen_y= 558, value= None), value= 0) [2.4379]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1138, screen_y= 652, value= None), value= 6) [3.161]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1185, screen_y= 503, value= None), value= 4) [3.5918]']","[[282, 398, 0.6349], [366, 498, 1.0876], [346, 706, 1.5571], [199, 740, 1.9716], [889, 558, 2.4379], [1138, 652, 3.161], [1185, 503, 3.5918]]"
000000018658.jpg,"[['tvmonitor', 99.24421310424805, 1161, 573, 687, 270], ['tvmonitor', 97.624409198761, 1583, 1139, 756, 244], ['pottedplant', 92.8248405456543, 349, 134, 264, 7], ['bottle', 96.88236117362976, 268, 138, 1001, 639]]","[['tvmonitor', 99.24421310424805, 867, 478, 245196, 2.9103974865611857], ['tvmonitor', 97.624409198761, 1361, 500, 227328, 3.296634096567032], ['pottedplant', 92.8248405456543, 241, 135, 55255, 3.053161508421323], ['bottle', 96.88236117362976, 203, 820, 47060, 3.047425526526472]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 241, screen_y= 135, value= ), value= 2) [0.6052]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 203, screen_y= 820, value= None), value= 3) [1.1343]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 867, screen_y= 478, value= None), value= 0) [1.8482]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1361, screen_y= 500, value= None), value= 1) [2.5872]']","[[241, 135, 0.6052], [203, 820, 1.1343], [867, 478, 1.8482], [1361, 500, 2.5872]]"
000000019544.jpg,"[['tvmonitor', 98.55391383171082, 1040, 645, 518, 232], ['laptop', 98.98979663848877, 1553, 1147, 786, 352], ['chair', 97.70632982254028, 1153, 201, 1077, 791], ['laptop', 99.77403283119202, 674, 342, 549, 243], ['bottle', 88.54576349258423, 336, 254, 568, 376], ['cup', 61.75549030303955, 604, 525, 616, 469], ['keyboard', 94.73657608032228, 1048, 560, 668, 561], ['remote', 84.84733700752257, 332, 237, 629, 572], ['mouse', 99.20946955680849, 1166, 1105, 689, 625]]","[['tvmonitor', 98.55391383171082, 842, 375, 112970, 3.133520773146048], ['laptop', 98.98979663848877, 1350, 569, 176204, 3.2422476002340335], ['chair', 97.70632982254028, 677, 934, 272272, 3.0722496261945995], ['laptop', 99.77403283119202, 508, 396, 101592, 3.2105646907674457], ['bottle', 88.54576349258423, 295, 472, 15744, 3.016374084669547], ['cup', 61.75549030303955, 564, 542, 11613, 2.74101060549216], ['keyboard', 94.73657608032228, 804, 614, 52216, 3.0273071948573826], ['remote', 84.84733700752257, 284, 600, 5415, 2.933994388817329], ['mouse', 99.20946955680849, 1135, 657, 3904, 3.3409415339969986]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 295, screen_y= 472, value= ), value= 5) [0.6226]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 284, screen_y= 600, value= None), value= 7) [1.0096]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 564, screen_y= 542, value= None), value= 6) [1.5767]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 508, screen_y= 396, value= None), value= 3) [2.1456]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 842, screen_y= 375, value= None), value= 2) [2.5886]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 804, screen_y= 614, value= None), value= 4) [3.018]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1135, screen_y= 657, value= None), value= 8) [3.5244]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1350, screen_y= 569, value= None), value= 1) [4.08]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 677, screen_y= 934, value= None), value= 0) [4.636]']","[[295, 472, 0.6226], [284, 600, 1.0096], [564, 542, 1.5767], [508, 396, 2.1456], [842, 375, 2.5886], [804, 614, 3.018], [1135, 657, 3.5244], [1350, 569, 4.08], [677, 934, 4.636]]"
000000021190.jpg,"[['tvmonitor', 99.53977465629578, 1137, 484, 746, 377], ['keyboard', 98.1977641582489, 1124, 471, 1000, 834], ['bottle', 99.71867799758913, 1592, 1487, 1026, 720], ['remote', 92.17819571495056, 1361, 1118, 774, 732], ['mouse', 81.23153448104857, 1227, 1132, 899, 846]]","[['tvmonitor', 99.53977465629578, 810, 561, 240957, 3.0803659059233124], ['keyboard', 98.1977641582489, 797, 917, 108398, 3.223133018781912], ['bottle', 99.71867799758913, 1539, 873, 32130, 3.1400775662182783], ['remote', 92.17819571495056, 1239, 753, 10206, 3.147824854705467], ['mouse', 81.23153448104857, 1179, 872, 5035, 2.912186014419436]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 810, screen_y= 561, value= ), value= 0) [0.4982]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 797, screen_y= 917, value= None), value= 1) [1.0462]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1179, screen_y= 872, value= None), value= 4) [1.5245]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1239, screen_y= 753, value= None), value= 3) [1.9194]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1539, screen_y= 873, value= None), value= 2) [2.4884]']","[[810, 561, 0.4982], [797, 917, 1.0462], [1179, 872, 1.5245], [1239, 753, 1.9194], [1539, 873, 2.4884]]"
000000023906.jpg,"[['diningtable', 99.59462285041808, 1518, 159, 1030, 121], ['wine glass', 98.238867521286, 1535, 1275, 531, 59]]","[['diningtable', 99.59462285041808, 838, 575, 1235331, 3.1652510874075555], ['wine glass', 98.238867521286, 1405, 295, 122720, 3.111420857995363]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 838, screen_y= 575, value= ), value= 0) [0.7619]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1405, screen_y= 295, value= None), value= 1) [1.3278]']","[[838, 575, 0.7619], [1405, 295, 1.3278]]"
000000024823.jpg,"[['refrigerator', 99.04040694236755, 1355, 936, 990, 116], ['bottle', 76.60084366798402, 615, 527, 503, 230], ['sink', 92.90285110473631, 1064, 590, 546, 446]]","[['refrigerator', 99.04040694236755, 1145, 553, 366206, 2.9128154064377085], ['bottle', 76.60084366798402, 571, 366, 24024, 2.931849693189271], ['sink', 92.90285110473631, 827, 496, 47400, 2.970790664621462]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 571, screen_y= 366, value= ), value= 2) [0.5538]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 827, screen_y= 496, value= None), value= 1) [1.1045]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1145, screen_y= 553, value= None), value= 0) [1.5206]']","[[571, 366, 0.5538], [827, 496, 1.1045], [1145, 553, 1.5206]]"
000000026454.jpg,"[['bottle', 68.04409623146057, 646, 445, 680, 425]]","[['bottle', 68.04409623146057, 545, 552, 51255, 2.9749690193466267]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 545, screen_y= 552, value= ), value= 0) [0.6023]']","[[545, 552, 0.6023]]"
000000026564.jpg,"[['tvmonitor', 99.91258382797241, 1053, 671, 594, 264], ['laptop', 99.81967210769652, 1506, 1107, 804, 545], ['book', 64.70358967781067, 323, 246, 674, 454], ['book', 81.29187822341919, 398, 319, 664, 466], ['book', 78.27689647674559, 463, 390, 667, 454], ['book', 96.347975730896, 514, 425, 683, 434], ['book', 79.34567332267761, 278, 211, 681, 483], ['keyboard', 93.70388984680176, 1032, 616, 825, 715], ['book', 69.92892026901245, 319, 290, 680, 480], ['book', 63.64030838012695, 419, 386, 666, 489], ['mouse', 93.12873482704164, 1125, 1060, 755, 701], ['mouse', 96.84153199195862, 1206, 1090, 910, 817]]","[['tvmonitor', 99.91258382797241, 862, 429, 126060, 3.2814826393314522], ['laptop', 99.81967210769652, 1306, 674, 103341, 3.089193612872475], ['book', 64.70358967781067, 284, 564, 16940, 2.719161181961837], ['book', 81.29187822341919, 358, 565, 15642, 2.9451888158278043], ['book', 78.27689647674559, 426, 560, 15549, 3.0216218237524775], ['book', 96.347975730896, 469, 558, 22161, 3.1940582936474606], ['book', 79.34567332267761, 244, 582, 13266, 3.0218141834401715], ['keyboard', 93.70388984680176, 824, 770, 45760, 3.3034981914970007], ['book', 69.92892026901245, 304, 580, 5800, 2.7746600429105177], ['book', 63.64030838012695, 402, 577, 5841, 2.855660188983195], ['mouse', 93.12873482704164, 1092, 728, 3510, 2.8958363389712574], ['mouse', 96.84153199195862, 1148, 863, 10788, 2.9800441891142855]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 284, screen_y= 564, value= ), value= 4) [0.6747]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 304, screen_y= 580, value= None), value= 10) [1.0493]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 358, screen_y= 565, value= None), value= 5) [1.4148]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 402, screen_y= 577, value= None), value= 9) [1.7355]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 426, screen_y= 560, value= None), value= 6) [2.0814]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 469, screen_y= 558, value= None), value= 3) [2.4198]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 244, screen_y= 582, value= None), value= 7) [3.0757]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 824, screen_y= 770, value= None), value= 2) [3.5721]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1092, screen_y= 728, value= None), value= 11) [4.078]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1148, screen_y= 863, value= None), value= 8) [4.5102]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1306, screen_y= 674, value= None), value= 1) [5.0184]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 862, screen_y= 429, value= None), value= 0) [5.5803]']","[[284, 564, 0.6747], [304, 580, 1.0493], [358, 565, 1.4148], [402, 577, 1.7355], [426, 560, 2.0814], [469, 558, 2.4198], [244, 582, 3.0757], [824, 770, 3.5721], [1092, 728, 4.078], [1148, 863, 4.5102], [1306, 674, 5.0184], [862, 429, 5.5803]]"
000000030947.jpg,"[['tvmonitor', 99.71402883529665, 1472, 1043, 538, 197], ['keyboard', 99.76726770401, 1452, 839, 773, 571], ['book', 62.11938858032226, 489, 127, 768, 594], ['book', 69.71911191940308, 222, 144, 561, 306], ['book', 64.74874019622803, 255, 180, 558, 307], ['book', 77.00523138046266, 327, 253, 554, 303], ['book', 70.65674662590027, 393, 319, 555, 305], ['bottle', 85.94664335250854, 1533, 1452, 650, 452], ['mouse', 88.24628591537477, 1523, 1422, 761, 634], ['remote', 78.94550561904906, 536, 444, 865, 706]]","[['tvmonitor', 99.71402883529665, 1257, 367, 146289, 3.21658997361101], ['keyboard', 99.76726770401, 1145, 672, 123826, 3.3256322720704623], ['book', 62.11938858032226, 308, 681, 62988, 2.819825274489306], ['book', 69.71911191940308, 183, 433, 19890, 2.8230173968150893], ['book', 64.74874019622803, 217, 432, 18825, 2.63766144545246], ['book', 77.00523138046266, 290, 428, 18574, 2.8032586217781903], ['book', 70.65674662590027, 356, 430, 18500, 2.8388462311526586], ['bottle', 85.94664335250854, 1492, 551, 16038, 2.958304431281316], ['mouse', 88.24628591537477, 1472, 697, 12827, 3.0519772721267118], ['remote', 78.94550561904906, 490, 785, 14628, 2.8576201895555315]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 290, screen_y= 428, value= ), value= 5) [0.5207]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 356, screen_y= 430, value= None), value= 6) [0.9545]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 217, screen_y= 432, value= None), value= 4) [1.4745]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 183, screen_y= 433, value= None), value= 3) [1.8282]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 308, screen_y= 681, value= None), value= 2) [2.2845]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 490, screen_y= 785, value= None), value= 8) [2.7413]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1145, screen_y= 672, value= None), value= 1) [3.3866]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1257, screen_y= 367, value= None), value= 0) [3.8566]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1492, screen_y= 551, value= None), value= 7) [4.3662]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1472, screen_y= 697, value= None), value= 9) [4.7893]']","[[290, 428, 0.5207], [356, 430, 0.9545], [217, 432, 1.4745], [183, 433, 1.8282], [308, 681, 2.2845], [490, 785, 2.7413], [1145, 672, 3.3866], [1257, 367, 3.8566], [1492, 551, 4.3662], [1472, 697, 4.7893]]"
