image,image_data,object_info,actr_data,actr_data_processed
000000001455.jpg,"[['bottle', 99.1882622241974, 1015, 899, 282, 39]]","[['bottle', 99.1882622241974, 957, 160, 28188, 3.0630923083944848]]","['_visuallocation(color= None, screen_x= 957, screen_y= 160, value= None) [0.1]']","[[957, 160, 0.1]]"
000000009527.jpg,"[['laptop', 99.87344741821288, 1098, 680, 765, 351], ['bottle', 96.95888757705687, 320, 244, 520, 277], ['cup', 67.47695803642273, 1246, 1125, 560, 446], ['cup', 96.900475025177, 410, 323, 567, 430], ['bowl', 93.57608556747437, 455, 238, 785, 628], ['remote', 79.69583272933959, 265, 134, 802, 679], ['mouse', 99.68901872634888, 1188, 1088, 691, 613]]","[['laptop', 99.87344741821288, 889, 558, 173052, 2.98389603935948], ['bottle', 96.95888757705687, 282, 398, 18468, 3.213071336733652], ['cup', 67.47695803642273, 1185, 503, 13794, 2.8355814759055247], ['cup', 96.900475025177, 366, 498, 11919, 3.2744265615635473], ['bowl', 93.57608556747437, 346, 706, 34069, 2.9240695287755996], ['remote', 79.69583272933959, 199, 740, 16113, 2.9446012291489416], ['mouse', 99.68901872634888, 1138, 652, 7800, 3.055757560078538]]","['_visuallocation(color= None, screen_x= 282, screen_y= 398, value= None) [0.1]']","[[282, 398, 0.1]]"
000000018658.jpg,"[['tvmonitor', 99.24421310424805, 1161, 573, 687, 270], ['tvmonitor', 97.624409198761, 1583, 1139, 756, 244], ['pottedplant', 92.8248405456543, 349, 134, 264, 7], ['bottle', 96.88236117362976, 268, 138, 1001, 639]]","[['tvmonitor', 99.24421310424805, 867, 478, 245196, 3.134728598759404], ['tvmonitor', 97.624409198761, 1361, 500, 227328, 3.056372298668724], ['pottedplant', 92.8248405456543, 241, 135, 55255, 3.096546038901651], ['bottle', 96.88236117362976, 203, 820, 47060, 3.2653855716402345]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 241, screen_y= 135, value= None), value= pottedplant) [0.4973]', '_visuallocation(color= None, screen_x= 203, screen_y= 820, value= None) [0.5473]']","[[241, 135, 0.4973], [203, 820, 0.5473]]"
000000019544.jpg,"[['tvmonitor', 98.55391383171082, 1040, 645, 518, 232], ['laptop', 98.98979663848877, 1553, 1147, 786, 352], ['chair', 97.70632982254028, 1153, 201, 1077, 791], ['laptop', 99.77403283119202, 674, 342, 549, 243], ['bottle', 88.54576349258423, 336, 254, 568, 376], ['cup', 61.75549030303955, 604, 525, 616, 469], ['keyboard', 94.73657608032228, 1048, 560, 668, 561], ['remote', 84.84733700752257, 332, 237, 629, 572], ['mouse', 99.20946955680849, 1166, 1105, 689, 625]]","[['tvmonitor', 98.55391383171082, 842, 375, 112970, 3.1250802273964218], ['laptop', 98.98979663848877, 1350, 569, 176204, 3.1024802286096445], ['chair', 97.70632982254028, 677, 934, 272272, 3.2671688417868103], ['laptop', 99.77403283119202, 508, 396, 101592, 3.032589868486018], ['bottle', 88.54576349258423, 295, 472, 15744, 2.93078117638717], ['cup', 61.75549030303955, 564, 542, 11613, 2.808782927548522], ['keyboard', 94.73657608032228, 804, 614, 52216, 3.0537620117060094], ['remote', 84.84733700752257, 284, 600, 5415, 3.0828760434682185], ['mouse', 99.20946955680849, 1135, 657, 3904, 3.1722499304539826]]","['_visuallocation(color= None, screen_x= 295, screen_y= 472, value= None) [0.1]']","[[295, 472, 0.1]]"
000000021190.jpg,"[['tvmonitor', 99.53977465629578, 1137, 484, 746, 377], ['keyboard', 98.1977641582489, 1124, 471, 1000, 834], ['bottle', 99.71867799758913, 1592, 1487, 1026, 720], ['remote', 92.17819571495056, 1361, 1118, 774, 732], ['mouse', 81.23153448104857, 1227, 1132, 899, 846]]","[['tvmonitor', 99.53977465629578, 810, 561, 240957, 3.22701301617434], ['keyboard', 98.1977641582489, 797, 917, 108398, 3.1430483493475694], ['bottle', 99.71867799758913, 1539, 873, 32130, 3.1560567108428508], ['remote', 92.17819571495056, 1239, 753, 10206, 3.1717994041379423], ['mouse', 81.23153448104857, 1179, 872, 5035, 3.082256424167793]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 810, screen_y= 561, value= None), value= tvmonitor) [0.627]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 797, screen_y= 917, value= None), value= keyboard) [1.3238]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1179, screen_y= 872, value= None), value= mouse) [1.8148]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1239, screen_y= 753, value= None), value= remote) [2.2303]', '_visuallocation(color= None, screen_x= 1539, screen_y= 873, value= None) [2.2803]']","[[810, 561, 0.627], [797, 917, 1.3238], [1179, 872, 1.8148], [1239, 753, 2.2303], [1539, 873, 2.2803]]"
000000023906.jpg,"[['diningtable', 99.59462285041808, 1518, 159, 1030, 121], ['wine glass', 98.238867521286, 1535, 1275, 531, 59]]","[['diningtable', 99.59462285041808, 838, 575, 1235331, 3.1448233963838783], ['wine glass', 98.238867521286, 1405, 295, 122720, 3.1041789162769495]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 838, screen_y= 575, value= None), value= diningtable) [0.7892]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1405, screen_y= 295, value= None), value= wine glass) [1.3964]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1405, screen_y= 295, value= None), value= wine glass) [1.3964]']","[[838, 575, 0.7892], [1405, 295, 1.3964], [1405, 295, 1.3964]]"
000000024823.jpg,"[['refrigerator', 99.04040694236755, 1355, 936, 990, 116], ['bottle', 76.60084366798402, 615, 527, 503, 230], ['sink', 92.90285110473631, 1064, 590, 546, 446]]","[['refrigerator', 99.04040694236755, 1145, 553, 366206, 3.0885354583559574], ['bottle', 76.60084366798402, 571, 366, 24024, 2.810393697759523], ['sink', 92.90285110473631, 827, 496, 47400, 3.1169378278796978]]","['_visuallocation(color= None, screen_x= 571, screen_y= 366, value= None) [0.1]']","[[571, 366, 0.1]]"
000000026454.jpg,"[['bottle', 68.04409623146057, 646, 445, 680, 425]]","[['bottle', 68.04409623146057, 545, 552, 51255, 2.6530756779688556]]","['_visuallocation(color= None, screen_x= 545, screen_y= 552, value= None) [0.1]']","[[545, 552, 0.1]]"
000000026564.jpg,"[['tvmonitor', 99.91258382797241, 1053, 671, 594, 264], ['laptop', 99.81967210769652, 1506, 1107, 804, 545], ['book', 64.70358967781067, 323, 246, 674, 454], ['book', 81.29187822341919, 398, 319, 664, 466], ['book', 78.27689647674559, 463, 390, 667, 454], ['book', 96.347975730896, 514, 425, 683, 434], ['book', 79.34567332267761, 278, 211, 681, 483], ['keyboard', 93.70388984680176, 1032, 616, 825, 715], ['book', 69.92892026901245, 319, 290, 680, 480], ['book', 63.64030838012695, 419, 386, 666, 489], ['mouse', 93.12873482704164, 1125, 1060, 755, 701], ['mouse', 96.84153199195862, 1206, 1090, 910, 817]]","[['tvmonitor', 99.91258382797241, 862, 429, 126060, 2.9331828836377336], ['laptop', 99.81967210769652, 1306, 674, 103341, 3.031235805888948], ['book', 64.70358967781067, 284, 564, 16940, 2.764972837745618], ['book', 81.29187822341919, 358, 565, 15642, 2.8779706854776905], ['book', 78.27689647674559, 426, 560, 15549, 3.0771441433241913], ['book', 96.347975730896, 469, 558, 22161, 2.9651027181173952], ['book', 79.34567332267761, 244, 582, 13266, 3.0801695291130917], ['keyboard', 93.70388984680176, 824, 770, 45760, 3.112635820410108], ['book', 69.92892026901245, 304, 580, 5800, 2.6318403308179787], ['book', 63.64030838012695, 402, 577, 5841, 2.846190939908076], ['mouse', 93.12873482704164, 1092, 728, 3510, 2.998416577194227], ['mouse', 96.84153199195862, 1148, 863, 10788, 3.1252890154339603]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 284, screen_y= 564, value= None), value= book) [0.478]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 304, screen_y= 580, value= None), value= book) [0.6826]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 244, screen_y= 582, value= None), value= book) [1.0156]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 358, screen_y= 565, value= None), value= book) [1.437]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 402, screen_y= 577, value= None), value= book) [1.7547]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 426, screen_y= 560, value= None), value= book) [2.1051]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 469, screen_y= 558, value= None), value= book) [2.5332]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 862, screen_y= 429, value= None), value= tvmonitor) [3.1789]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 824, screen_y= 770, value= None), value= keyboard) [3.7346]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1092, screen_y= 728, value= None), value= mouse) [4.2907]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1148, screen_y= 863, value= None), value= mouse) [4.6468]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1306, screen_y= 674, value= None), value= laptop) [5.1144]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1306, screen_y= 674, value= None), value= laptop) [5.1144]']","[[284, 564, 0.478], [304, 580, 0.6826], [244, 582, 1.0156], [358, 565, 1.437], [402, 577, 1.7547], [426, 560, 2.1051], [469, 558, 2.5332], [862, 429, 3.1789], [824, 770, 3.7346], [1092, 728, 4.2907], [1148, 863, 4.6468], [1306, 674, 5.1144], [1306, 674, 5.1144]]"
000000030947.jpg,"[['tvmonitor', 99.71402883529665, 1472, 1043, 538, 197], ['keyboard', 99.76726770401, 1452, 839, 773, 571], ['book', 62.11938858032226, 489, 127, 768, 594], ['book', 69.71911191940308, 222, 144, 561, 306], ['book', 64.74874019622803, 255, 180, 558, 307], ['book', 77.00523138046266, 327, 253, 554, 303], ['book', 70.65674662590027, 393, 319, 555, 305], ['bottle', 85.94664335250854, 1533, 1452, 650, 452], ['mouse', 88.24628591537477, 1523, 1422, 761, 634], ['remote', 78.94550561904906, 536, 444, 865, 706]]","[['tvmonitor', 99.71402883529665, 1257, 367, 146289, 3.053409659479049], ['keyboard', 99.76726770401, 1145, 672, 123826, 3.1278104543880154], ['book', 62.11938858032226, 308, 681, 62988, 2.8566939345955342], ['book', 69.71911191940308, 183, 433, 19890, 2.897863638069905], ['book', 64.74874019622803, 217, 432, 18825, 2.8285053861422105], ['book', 77.00523138046266, 290, 428, 18574, 3.0480006913840585], ['book', 70.65674662590027, 356, 430, 18500, 3.036932963160196], ['bottle', 85.94664335250854, 1492, 551, 16038, 3.0737614134460496], ['mouse', 88.24628591537477, 1472, 697, 12827, 3.0195971119310943], ['remote', 78.94550561904906, 490, 785, 14628, 2.9290204192454103]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 290, screen_y= 428, value= None), value= book) [0.5404]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 356, screen_y= 430, value= None), value= book) [0.8532]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 217, screen_y= 432, value= None), value= book) [1.1441]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 183, screen_y= 433, value= None), value= book) [1.4622]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 308, screen_y= 681, value= None), value= book) [1.8558]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 490, screen_y= 785, value= None), value= remote) [2.2143]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1145, screen_y= 672, value= None), value= keyboard) [2.9109]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1257, screen_y= 367, value= None), value= tvmonitor) [3.4072]', '_visuallocation(color= None, screen_x= 1492, screen_y= 551, value= None) [3.4572]']","[[290, 428, 0.5404], [356, 430, 0.8532], [217, 432, 1.1441], [183, 433, 1.4622], [308, 681, 1.8558], [490, 785, 2.2143], [1145, 672, 2.9109], [1257, 367, 3.4072], [1492, 551, 3.4572]]"
