image,image_data,object_info,actr_data
000000001455.jpg,"[['bottle', 99.1882622241974, 1015, 899, 282, 39]]","[['bottle', 99.1882622241974, 957, 160, 28188, 3.1789369907211125]]",[]
000000009527.jpg,"[['laptop', 99.87344741821288, 1098, 680, 765, 351], ['bottle', 96.95888757705687, 320, 244, 520, 277], ['cup', 67.47695803642273, 1246, 1125, 560, 446], ['cup', 96.900475025177, 410, 323, 567, 430], ['bowl', 93.57608556747437, 455, 238, 785, 628], ['remote', 79.69583272933959, 265, 134, 802, 679], ['mouse', 99.68901872634888, 1188, 1088, 691, 613]]","[['laptop', 99.87344741821288, 889, 558, 173052, 3.2205570065254823], ['bottle', 96.95888757705687, 282, 398, 18468, 3.173138564389111], ['cup', 67.47695803642273, 1185, 503, 13794, 2.883908534401962], ['cup', 96.900475025177, 366, 498, 11919, 3.2345609362639745], ['bowl', 93.57608556747437, 346, 706, 34069, 3.1863941682211476], ['remote', 79.69583272933959, 199, 740, 16113, 2.9514135028076582], ['mouse', 99.68901872634888, 1138, 652, 7800, 3.1216395581946026]]",[]
000000018658.jpg,"[['tvmonitor', 99.24421310424805, 1161, 573, 687, 270], ['tvmonitor', 97.624409198761, 1583, 1139, 756, 244], ['pottedplant', 92.8248405456543, 349, 134, 264, 7], ['bottle', 96.88236117362976, 268, 138, 1001, 639]]","[['tvmonitor', 99.24421310424805, 867, 478, 245196, 3.2160217143530025], ['tvmonitor', 97.624409198761, 1361, 500, 227328, 3.1425797058583673], ['pottedplant', 92.8248405456543, 241, 135, 55255, 2.890783231246242], ['bottle', 96.88236117362976, 203, 820, 47060, 2.976904235155819]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 241, screen_y= 135, value= ), value= pottedplant) [0.6519]']"
000000019544.jpg,"[['tvmonitor', 98.55391383171082, 1040, 645, 518, 232], ['laptop', 98.98979663848877, 1553, 1147, 786, 352], ['chair', 97.70632982254028, 1153, 201, 1077, 791], ['laptop', 99.77403283119202, 674, 342, 549, 243], ['bottle', 88.54576349258423, 336, 254, 568, 376], ['cup', 61.75549030303955, 604, 525, 616, 469], ['keyboard', 94.73657608032228, 1048, 560, 668, 561], ['remote', 84.84733700752257, 332, 237, 629, 572], ['mouse', 99.20946955680849, 1166, 1105, 689, 625]]","[['tvmonitor', 98.55391383171082, 842, 375, 112970, 3.215135721546623], ['laptop', 98.98979663848877, 1350, 569, 176204, 3.037928234071208], ['chair', 97.70632982254028, 677, 934, 272272, 3.2541290505960085], ['laptop', 99.77403283119202, 508, 396, 101592, 3.1038386509950646], ['bottle', 88.54576349258423, 295, 472, 15744, 2.9381710877030276], ['cup', 61.75549030303955, 564, 542, 11613, 2.904836945396482], ['keyboard', 94.73657608032228, 804, 614, 52216, 3.100293882510149], ['remote', 84.84733700752257, 284, 600, 5415, 3.084008969687992], ['mouse', 99.20946955680849, 1135, 657, 3904, 2.9962904223317963]]",[]
000000021190.jpg,"[['tvmonitor', 99.53977465629578, 1137, 484, 746, 377], ['keyboard', 98.1977641582489, 1124, 471, 1000, 834], ['bottle', 99.71867799758913, 1592, 1487, 1026, 720], ['remote', 92.17819571495056, 1361, 1118, 774, 732], ['mouse', 81.23153448104857, 1227, 1132, 899, 846]]","[['tvmonitor', 99.53977465629578, 810, 561, 240957, 3.1849887320522545], ['keyboard', 98.1977641582489, 797, 917, 108398, 3.1375632506783404], ['bottle', 99.71867799758913, 1539, 873, 32130, 3.173497398971043], ['remote', 92.17819571495056, 1239, 753, 10206, 3.0785204168865707], ['mouse', 81.23153448104857, 1179, 872, 5035, 3.2545863651197986]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 810, screen_y= 561, value= ), value= tvmonitor) [0.5923]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 797, screen_y= 917, value= None), value= keyboard) [1.0335]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1179, screen_y= 872, value= None), value= mouse) [1.4732]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1239, screen_y= 753, value= None), value= remote) [1.9592]']"
000000023906.jpg,"[['diningtable', 99.59462285041808, 1518, 159, 1030, 121], ['wine glass', 98.238867521286, 1535, 1275, 531, 59]]","[['diningtable', 99.59462285041808, 838, 575, 1235331, 3.2859013317914734], ['wine glass', 98.238867521286, 1405, 295, 122720, 3.1298672843382684]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 838, screen_y= 575, value= ), value= diningtable) [0.6042]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1405, screen_y= 295, value= None), value= wine glass) [1.1357]']"
000000024823.jpg,"[['refrigerator', 99.04040694236755, 1355, 936, 990, 116], ['bottle', 76.60084366798402, 615, 527, 503, 230], ['sink', 92.90285110473631, 1064, 590, 546, 446]]","[['refrigerator', 99.04040694236755, 1145, 553, 366206, 3.0170045082016292], ['bottle', 76.60084366798402, 571, 366, 24024, 2.771141690030178], ['sink', 92.90285110473631, 827, 496, 47400, 3.1563315113432986]]",[]
000000026454.jpg,"[['bottle', 68.04409623146057, 646, 445, 680, 425]]","[['bottle', 68.04409623146057, 545, 552, 51255, 2.965869472532206]]",[]
000000026564.jpg,"[['tvmonitor', 99.91258382797241, 1053, 671, 594, 264], ['laptop', 99.81967210769652, 1506, 1107, 804, 545], ['book', 64.70358967781067, 323, 246, 674, 454], ['book', 81.29187822341919, 398, 319, 664, 466], ['book', 78.27689647674559, 463, 390, 667, 454], ['book', 96.347975730896, 514, 425, 683, 434], ['book', 79.34567332267761, 278, 211, 681, 483], ['keyboard', 93.70388984680176, 1032, 616, 825, 715], ['book', 69.92892026901245, 319, 290, 680, 480], ['book', 63.64030838012695, 419, 386, 666, 489], ['mouse', 93.12873482704164, 1125, 1060, 755, 701], ['mouse', 96.84153199195862, 1206, 1090, 910, 817]]","[['tvmonitor', 99.91258382797241, 862, 429, 126060, 3.2805971924399606], ['laptop', 99.81967210769652, 1306, 674, 103341, 3.215983675350698], ['book', 64.70358967781067, 284, 564, 16940, 2.825195998177196], ['book', 81.29187822341919, 358, 565, 15642, 2.815082841906244], ['book', 78.27689647674559, 426, 560, 15549, 2.8301261206882535], ['book', 96.347975730896, 469, 558, 22161, 3.2689950775171095], ['book', 79.34567332267761, 244, 582, 13266, 2.92943222541205], ['keyboard', 93.70388984680176, 824, 770, 45760, 3.102094163890914], ['book', 69.92892026901245, 304, 580, 5800, 2.8155174958533062], ['book', 63.64030838012695, 402, 577, 5841, 2.666544876280006], ['mouse', 93.12873482704164, 1092, 728, 3510, 2.9952697450025045], ['mouse', 96.84153199195862, 1148, 863, 10788, 3.0615108097353048]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 284, screen_y= 564, value= ), value= book) [0.546]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 304, screen_y= 580, value= None), value= book) [0.8297]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 358, screen_y= 565, value= None), value= book) [1.2038]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 402, screen_y= 577, value= None), value= book) [1.5981]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 426, screen_y= 560, value= None), value= book) [1.9258]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 469, screen_y= 558, value= None), value= book) [2.2686]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 244, screen_y= 582, value= None), value= book) [2.75]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 824, screen_y= 770, value= None), value= keyboard) [3.2207]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1092, screen_y= 728, value= None), value= mouse) [3.7068]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1148, screen_y= 863, value= None), value= mouse) [4.155]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1306, screen_y= 674, value= None), value= laptop) [4.7023]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 862, screen_y= 429, value= None), value= tvmonitor) [5.312]']"
000000030947.jpg,"[['tvmonitor', 99.71402883529665, 1472, 1043, 538, 197], ['keyboard', 99.76726770401, 1452, 839, 773, 571], ['book', 62.11938858032226, 489, 127, 768, 594], ['book', 69.71911191940308, 222, 144, 561, 306], ['book', 64.74874019622803, 255, 180, 558, 307], ['book', 77.00523138046266, 327, 253, 554, 303], ['book', 70.65674662590027, 393, 319, 555, 305], ['bottle', 85.94664335250854, 1533, 1452, 650, 452], ['mouse', 88.24628591537477, 1523, 1422, 761, 634], ['remote', 78.94550561904906, 536, 444, 865, 706]]","[['tvmonitor', 99.71402883529665, 1257, 367, 146289, 3.115542928288379], ['keyboard', 99.76726770401, 1145, 672, 123826, 3.0778904582651827], ['book', 62.11938858032226, 308, 681, 62988, 2.670136608275161], ['book', 69.71911191940308, 183, 433, 19890, 2.9546465966044684], ['book', 64.74874019622803, 217, 432, 18825, 2.717731578520233], ['book', 77.00523138046266, 290, 428, 18574, 2.9561612311958885], ['book', 70.65674662590027, 356, 430, 18500, 2.8144067645007267], ['bottle', 85.94664335250854, 1492, 551, 16038, 3.035050815444066], ['mouse', 88.24628591537477, 1472, 697, 12827, 2.973662994574295], ['remote', 78.94550561904906, 490, 785, 14628, 2.8776240178635404]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 290, screen_y= 428, value= ), value= book) [0.6351]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 356, screen_y= 430, value= None), value= book) [0.9959]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 217, screen_y= 432, value= None), value= book) [1.3498]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 183, screen_y= 433, value= None), value= book) [1.6517]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 308, screen_y= 681, value= None), value= book) [2.0853]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 490, screen_y= 785, value= None), value= remote) [2.59]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1145, screen_y= 672, value= None), value= keyboard) [3.1241]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1257, screen_y= 367, value= None), value= tvmonitor) [3.6233]']"
