image,image_data,object_info,actr_data,actr_data_processed
000000001455.jpg,"[['bottle', 99.1882622241974, 1015, 899, 282, 39]]","[['bottle', 99.1882622241974, 957, 160, 28188, 3.2028316471647864]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 957, screen_y= 160, value= ), value= 0) [0.69]']","[[957, 160, 0.69]]"
000000009527.jpg,"[['laptop', 99.87344741821288, 1098, 680, 765, 351], ['bottle', 96.95888757705687, 320, 244, 520, 277], ['cup', 67.47695803642273, 1246, 1125, 560, 446], ['cup', 96.900475025177, 410, 323, 567, 430], ['bowl', 93.57608556747437, 455, 238, 785, 628], ['remote', 79.69583272933959, 265, 134, 802, 679], ['mouse', 99.68901872634888, 1188, 1088, 691, 613]]","[['laptop', 99.87344741821288, 889, 558, 173052, 3.2915529235134335], ['bottle', 96.95888757705687, 282, 398, 18468, 3.219381187300428], ['cup', 67.47695803642273, 1185, 503, 13794, 2.6919609606518566], ['cup', 96.900475025177, 366, 498, 11919, 3.0731222452049223], ['bowl', 93.57608556747437, 346, 706, 34069, 3.0499359908901305], ['remote', 79.69583272933959, 199, 740, 16113, 2.8772953492711824], ['mouse', 99.68901872634888, 1138, 652, 7800, 3.2183537092633125]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 282, screen_y= 398, value= ), value= 2) [0.5509]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 366, screen_y= 498, value= None), value= 5) [1.0679]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 346, screen_y= 706, value= None), value= 1) [1.6986]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 199, screen_y= 740, value= None), value= 3) [2.1591]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 889, screen_y= 558, value= None), value= 0) [2.7264]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1138, screen_y= 652, value= None), value= 6) [3.2057]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1185, screen_y= 503, value= None), value= 4) [3.7534]']","[[282, 398, 0.5509], [366, 498, 1.0679], [346, 706, 1.6986], [199, 740, 2.1591], [889, 558, 2.7264], [1138, 652, 3.2057], [1185, 503, 3.7534]]"
000000018658.jpg,"[['tvmonitor', 99.24421310424805, 1161, 573, 687, 270], ['tvmonitor', 97.624409198761, 1583, 1139, 756, 244], ['pottedplant', 92.8248405456543, 349, 134, 264, 7], ['bottle', 96.88236117362976, 268, 138, 1001, 639]]","[['tvmonitor', 99.24421310424805, 867, 478, 245196, 3.253627164030233], ['tvmonitor', 97.624409198761, 1361, 500, 227328, 3.1303563599241926], ['pottedplant', 92.8248405456543, 241, 135, 55255, 3.177713747804014], ['bottle', 96.88236117362976, 203, 820, 47060, 3.1812730358155243]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 241, screen_y= 135, value= ), value= 2) [0.5956]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 203, screen_y= 820, value= None), value= 3) [1.1176]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 867, screen_y= 478, value= None), value= 0) [1.673]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1361, screen_y= 500, value= None), value= 1) [2.3144]']","[[241, 135, 0.5956], [203, 820, 1.1176], [867, 478, 1.673], [1361, 500, 2.3144]]"
000000019544.jpg,"[['tvmonitor', 98.55391383171082, 1040, 645, 518, 232], ['laptop', 98.98979663848877, 1553, 1147, 786, 352], ['chair', 97.70632982254028, 1153, 201, 1077, 791], ['laptop', 99.77403283119202, 674, 342, 549, 243], ['bottle', 88.54576349258423, 336, 254, 568, 376], ['cup', 61.75549030303955, 604, 525, 616, 469], ['keyboard', 94.73657608032228, 1048, 560, 668, 561], ['remote', 84.84733700752257, 332, 237, 629, 572], ['mouse', 99.20946955680849, 1166, 1105, 689, 625]]","[['tvmonitor', 98.55391383171082, 842, 375, 112970, 3.087396826384564], ['laptop', 98.98979663848877, 1350, 569, 176204, 3.366393090043646], ['chair', 97.70632982254028, 677, 934, 272272, 3.052335306416343], ['laptop', 99.77403283119202, 508, 396, 101592, 3.1841891046322495], ['bottle', 88.54576349258423, 295, 472, 15744, 3.0260219880171033], ['cup', 61.75549030303955, 564, 542, 11613, 2.9332911366087235], ['keyboard', 94.73657608032228, 804, 614, 52216, 2.9864987933007754], ['remote', 84.84733700752257, 284, 600, 5415, 2.9794870223552063], ['mouse', 99.20946955680849, 1135, 657, 3904, 3.167468634564139]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 295, screen_y= 472, value= ), value= 5) [0.6791]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 284, screen_y= 600, value= None), value= 7) [1.0503]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 564, screen_y= 542, value= None), value= 6) [1.6791]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 508, screen_y= 396, value= None), value= 3) [2.2132]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 842, screen_y= 375, value= None), value= 2) [2.762]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 804, screen_y= 614, value= None), value= 4) [3.1473]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1135, screen_y= 657, value= None), value= 8) [3.8027]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1350, screen_y= 569, value= None), value= 1) [4.3773]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 677, screen_y= 934, value= None), value= 0) [4.7516]']","[[295, 472, 0.6791], [284, 600, 1.0503], [564, 542, 1.6791], [508, 396, 2.2132], [842, 375, 2.762], [804, 614, 3.1473], [1135, 657, 3.8027], [1350, 569, 4.3773], [677, 934, 4.7516]]"
000000021190.jpg,"[['tvmonitor', 99.53977465629578, 1137, 484, 746, 377], ['keyboard', 98.1977641582489, 1124, 471, 1000, 834], ['bottle', 99.71867799758913, 1592, 1487, 1026, 720], ['remote', 92.17819571495056, 1361, 1118, 774, 732], ['mouse', 81.23153448104857, 1227, 1132, 899, 846]]","[['tvmonitor', 99.53977465629578, 810, 561, 240957, 3.035727465820511], ['keyboard', 98.1977641582489, 797, 917, 108398, 3.185876197374102], ['bottle', 99.71867799758913, 1539, 873, 32130, 2.8421043963091632], ['remote', 92.17819571495056, 1239, 753, 10206, 3.286957791875119], ['mouse', 81.23153448104857, 1179, 872, 5035, 3.0854933595878924]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 810, screen_y= 561, value= ), value= 0) [0.5857]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 797, screen_y= 917, value= None), value= 1) [1.2851]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1179, screen_y= 872, value= None), value= 4) [1.725]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1239, screen_y= 753, value= None), value= 3) [2.2326]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1539, screen_y= 873, value= None), value= 2) [2.8035]']","[[810, 561, 0.5857], [797, 917, 1.2851], [1179, 872, 1.725], [1239, 753, 2.2326], [1539, 873, 2.8035]]"
000000023906.jpg,"[['diningtable', 99.59462285041808, 1518, 159, 1030, 121], ['wine glass', 98.238867521286, 1535, 1275, 531, 59]]","[['diningtable', 99.59462285041808, 838, 575, 1235331, 3.1305305023740524], ['wine glass', 98.238867521286, 1405, 295, 122720, 3.170064122271482]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 838, screen_y= 575, value= ), value= 0) [0.4905]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1405, screen_y= 295, value= None), value= 1) [1.0161]']","[[838, 575, 0.4905], [1405, 295, 1.0161]]"
000000024823.jpg,"[['refrigerator', 99.04040694236755, 1355, 936, 990, 116], ['bottle', 76.60084366798402, 615, 527, 503, 230], ['sink', 92.90285110473631, 1064, 590, 546, 446]]","[['refrigerator', 99.04040694236755, 1145, 553, 366206, 2.893216303878189], ['bottle', 76.60084366798402, 571, 366, 24024, 2.8461269101520044], ['sink', 92.90285110473631, 827, 496, 47400, 3.0834775736889863]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 571, screen_y= 366, value= ), value= 2) [0.8211]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 827, screen_y= 496, value= None), value= 1) [1.3669]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1145, screen_y= 553, value= None), value= 0) [1.9079]']","[[571, 366, 0.8211], [827, 496, 1.3669], [1145, 553, 1.9079]]"
000000026454.jpg,"[['bottle', 68.04409623146057, 646, 445, 680, 425]]","[['bottle', 68.04409623146057, 545, 552, 51255, 2.914218881448724]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 545, screen_y= 552, value= ), value= 0) [0.7105]']","[[545, 552, 0.7105]]"
000000026564.jpg,"[['tvmonitor', 99.91258382797241, 1053, 671, 594, 264], ['laptop', 99.81967210769652, 1506, 1107, 804, 545], ['book', 64.70358967781067, 323, 246, 674, 454], ['book', 81.29187822341919, 398, 319, 664, 466], ['book', 78.27689647674559, 463, 390, 667, 454], ['book', 96.347975730896, 514, 425, 683, 434], ['book', 79.34567332267761, 278, 211, 681, 483], ['keyboard', 93.70388984680176, 1032, 616, 825, 715], ['book', 69.92892026901245, 319, 290, 680, 480], ['book', 63.64030838012695, 419, 386, 666, 489], ['mouse', 93.12873482704164, 1125, 1060, 755, 701], ['mouse', 96.84153199195862, 1206, 1090, 910, 817]]","[['tvmonitor', 99.91258382797241, 862, 429, 126060, 3.0127473683150416], ['laptop', 99.81967210769652, 1306, 674, 103341, 3.201386281685717], ['book', 64.70358967781067, 284, 564, 16940, 2.780214962761424], ['book', 81.29187822341919, 358, 565, 15642, 2.939949709727665], ['book', 78.27689647674559, 426, 560, 15549, 3.0280987597787403], ['book', 96.347975730896, 469, 558, 22161, 3.123524262968751], ['book', 79.34567332267761, 244, 582, 13266, 2.993971918961732], ['keyboard', 93.70388984680176, 824, 770, 45760, 3.2063572440578083], ['book', 69.92892026901245, 304, 580, 5800, 2.7644167025694726], ['book', 63.64030838012695, 402, 577, 5841, 2.737290684953136], ['mouse', 93.12873482704164, 1092, 728, 3510, 2.990348649898691], ['mouse', 96.84153199195862, 1148, 863, 10788, 3.0779651312065996]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 284, screen_y= 564, value= ), value= 4) [0.7263]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 304, screen_y= 580, value= None), value= 10) [0.9968]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 358, screen_y= 565, value= None), value= 5) [1.3374]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 402, screen_y= 577, value= None), value= 9) [1.7265]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 426, screen_y= 560, value= None), value= 6) [2.1333]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 469, screen_y= 558, value= None), value= 3) [2.5048]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 244, screen_y= 582, value= None), value= 7) [2.9652]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 824, screen_y= 770, value= None), value= 2) [3.4184]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1092, screen_y= 728, value= None), value= 11) [3.9656]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1148, screen_y= 863, value= None), value= 8) [4.4488]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1306, screen_y= 674, value= None), value= 1) [4.957]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 862, screen_y= 429, value= None), value= 0) [5.4783]']","[[284, 564, 0.7263], [304, 580, 0.9968], [358, 565, 1.3374], [402, 577, 1.7265], [426, 560, 2.1333], [469, 558, 2.5048], [244, 582, 2.9652], [824, 770, 3.4184], [1092, 728, 3.9656], [1148, 863, 4.4488], [1306, 674, 4.957], [862, 429, 5.4783]]"
000000030947.jpg,"[['tvmonitor', 99.71402883529665, 1472, 1043, 538, 197], ['keyboard', 99.76726770401, 1452, 839, 773, 571], ['book', 62.11938858032226, 489, 127, 768, 594], ['book', 69.71911191940308, 222, 144, 561, 306], ['book', 64.74874019622803, 255, 180, 558, 307], ['book', 77.00523138046266, 327, 253, 554, 303], ['book', 70.65674662590027, 393, 319, 555, 305], ['bottle', 85.94664335250854, 1533, 1452, 650, 452], ['mouse', 88.24628591537477, 1523, 1422, 761, 634], ['remote', 78.94550561904906, 536, 444, 865, 706]]","[['tvmonitor', 99.71402883529665, 1257, 367, 146289, 3.1003243317339426], ['keyboard', 99.76726770401, 1145, 672, 123826, 3.197893265578712], ['book', 62.11938858032226, 308, 681, 62988, 2.6980720912154084], ['book', 69.71911191940308, 183, 433, 19890, 2.7351456660134086], ['book', 64.74874019622803, 217, 432, 18825, 2.836085865565069], ['book', 77.00523138046266, 290, 428, 18574, 3.1449202132418286], ['book', 70.65674662590027, 356, 430, 18500, 2.9368483124961884], ['bottle', 85.94664335250854, 1492, 551, 16038, 3.0628872838172825], ['mouse', 88.24628591537477, 1472, 697, 12827, 2.993121207116761], ['remote', 78.94550561904906, 490, 785, 14628, 2.8938451881414373]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 290, screen_y= 428, value= ), value= 5) [0.6784]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 356, screen_y= 430, value= None), value= 6) [1.0421]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 217, screen_y= 432, value= None), value= 4) [1.4404]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 183, screen_y= 433, value= None), value= 3) [1.7856]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 308, screen_y= 681, value= None), value= 2) [2.3171]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 490, screen_y= 785, value= None), value= 8) [2.7635]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1145, screen_y= 672, value= None), value= 1) [3.2899]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1257, screen_y= 367, value= None), value= 0) [3.8044]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1492, screen_y= 551, value= None), value= 7) [4.3628]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1472, screen_y= 697, value= None), value= 9) [4.8036]']","[[290, 428, 0.6784], [356, 430, 1.0421], [217, 432, 1.4404], [183, 433, 1.7856], [308, 681, 2.3171], [490, 785, 2.7635], [1145, 672, 3.2899], [1257, 367, 3.8044], [1492, 551, 4.3628], [1472, 697, 4.8036]]"
