name,object_info,actr_data,actr_data_processed
000000001455.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bottle', 99.1882622241974, 1072, 275, 28188, 3.130515339438016]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1158]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1658]', '_visuallocation(color= None, screen_x= 1072, screen_y= 275, value= None) [0.2158]']","[[840, 525, 0.1158], [840, 525, 0.1658], [1072, 275, 0.2158]]"
000000009527.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['laptop', 99.87343549728394, 1004, 673, 173052, 3.1367100322794146], ['bottle', 96.95888757705687, 397, 513, 18468, 3.1100382436510787], ['cup', 67.47700572013855, 1300, 618, 13794, 2.796741575314243], ['cup', 96.900475025177, 481, 613, 11919, 3.109495083923966], ['bowl', 93.57607364654541, 461, 821, 34069, 3.0780355382312887], ['remote', 79.69582676887512, 314, 855, 16113, 2.9354726898523373], ['mouse', 99.68901872634888, 1253, 767, 7800, 3.1350441217058247]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1308]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1808]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1004, screen_y= 673, value= None), value= laptop) [0.4847]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1253, screen_y= 767, value= None), value= mouse) [0.9288]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1300, screen_y= 618, value= None), value= cup) [1.2169]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 481, screen_y= 613, value= None), value= cup) [1.8328]', '_visuallocation(color= None, screen_x= 397, screen_y= 513, value= None) [1.8828]']","[[840, 525, 0.1308], [840, 525, 0.1808], [1004, 673, 0.4847], [1253, 767, 0.9288], [1300, 618, 1.2169], [481, 613, 1.8328], [397, 513, 1.8828]]"
000000018658.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.24421310424805, 982, 593, 245196, 3.131022938925133], ['tvmonitor', 97.62439727783205, 1476, 615, 227328, 3.1162023601361546], ['pottedplant', 92.82488226890564, 356, 250, 55255, 3.070778192970394], ['bottle', 96.88236117362976, 318, 935, 47060, 3.1093266447852064]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1142]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1642]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 982, screen_y= 593, value= None), value= tvmonitor) [0.5957]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1476, screen_y= 615, value= None), value= tvmonitor) [1.1261]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 356, screen_y= 250, value= None), value= pottedplant) [1.6071]', '_visuallocation(color= None, screen_x= 318, screen_y= 935, value= None) [1.6571]']","[[840, 525, 0.1142], [840, 525, 0.1642], [982, 593, 0.5957], [1476, 615, 1.1261], [356, 250, 1.6071], [318, 935, 1.6571]]"
000000019544.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 98.55391383171082, 957, 490, 112970, 3.1247387140956624], ['laptop', 98.98979663848877, 1465, 684, 176204, 3.128712313571303], ['chair', 97.70631790161131, 792, 1049, 272272, 3.116958115076284], ['laptop', 99.77403283119202, 623, 511, 101592, 3.1358142129055953], ['bottle', 88.54581117630005, 410, 587, 15744, 3.0284107109747995], ['cup', 61.7554783821106, 679, 657, 11613, 2.728415090492162], ['keyboard', 94.73657608032228, 919, 729, 52216, 3.08913998732342], ['remote', 84.84729528427123, 399, 715, 5415, 2.990356935411498], ['mouse', 99.20946955680849, 1250, 772, 3904, 3.130153002401308]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.116]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.166]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 957, screen_y= 490, value= None), value= tvmonitor) [0.407]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 919, screen_y= 729, value= None), value= keyboard) [0.7422]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 679, screen_y= 657, value= None), value= cup) [1.1737]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 623, screen_y= 511, value= None), value= laptop) [1.5375]', '_visuallocation(color= None, screen_x= 410, screen_y= 587, value= None) [1.5875]']","[[840, 525, 0.116], [840, 525, 0.166], [957, 490, 0.407], [919, 729, 0.7422], [679, 657, 1.1737], [623, 511, 1.5375], [410, 587, 1.5875]]"
000000021190.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.53977465629578, 925, 676, 240957, 3.133699196799221], ['keyboard', 98.1977641582489, 912, 1032, 108398, 3.1214780377126945], ['bottle', 99.71867799758913, 1654, 988, 32130, 3.1353149289189006], ['remote', 92.17821955680849, 1354, 868, 10206, 3.0644869693631787], ['mouse', 81.23159408569336, 1294, 987, 5035, 2.951989804685797]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1162]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1662]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 925, screen_y= 676, value= None), value= tvmonitor) [0.6127]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 912, screen_y= 1032, value= None), value= keyboard) [1.017]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1294, screen_y= 987, value= None), value= mouse) [1.475]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1354, screen_y= 868, value= None), value= remote) [1.8584]', '_visuallocation(color= None, screen_x= 1654, screen_y= 988, value= None) [1.9084]']","[[840, 525, 0.1162], [840, 525, 0.1662], [925, 676, 0.6127], [912, 1032, 1.017], [1294, 987, 1.475], [1354, 868, 1.8584], [1654, 988, 1.9084]]"
000000023906.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 99.59462285041808, 953, 690, 1235331, 3.13419488528999], ['wine glass', 98.238867521286, 1520, 410, 122720, 3.121854993035739]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1099]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1599]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 953, screen_y= 690, value= None), value= diningtable) [0.6089]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1520, screen_y= 410, value= None), value= wine glass) [1.209]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1520, screen_y= 410, value= None), value= wine glass) [1.209]']","[[840, 525, 0.1099], [840, 525, 0.1599], [953, 690, 0.6089], [1520, 410, 1.209], [1520, 410, 1.209]]"
000000024823.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.04040694236755, 1260, 668, 366206, 3.1291724698836068], ['bottle', 76.60089135169983, 686, 481, 24024, 2.9013914800274834], ['sink', 92.90286898612976, 942, 611, 47400, 3.0715341614322864]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1237]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1737]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 942, screen_y= 611, value= None), value= sink) [0.5753]', '_visuallocation(color= None, screen_x= 686, screen_y= 481, value= None) [0.6253]']","[[840, 525, 0.1237], [840, 525, 0.1737], [942, 611, 0.5753], [686, 481, 0.6253]]"
000000026454.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bottle', 68.04391741752626, 660, 667, 51255, 2.803408780183983]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1216]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1716]', '_visuallocation(color= None, screen_x= 660, screen_y= 667, value= None) [0.2216]']","[[840, 525, 0.1216], [840, 525, 0.1716], [660, 667, 0.2216]]"
000000026564.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.91258382797241, 977, 544, 126060, 3.1370625690230294], ['laptop', 99.81967210769652, 1421, 789, 103341, 3.1362256369226538], ['book', 64.70366716384889, 399, 679, 16940, 2.7638481439918485], ['book', 81.29191994667053, 473, 680, 15642, 2.9527404248331925], ['book', 78.27692627906801, 541, 675, 15549, 2.9199440652760376], ['book', 96.347975730896, 584, 673, 22161, 3.1043415063728514], ['book', 79.34566140174866, 359, 697, 13266, 2.9316558150514704], ['keyboard', 93.70393753051758, 939, 885, 45760, 3.0792654205773213], ['book', 69.9288845062256, 419, 695, 5800, 2.8253940620435443], ['book', 63.6402428150177, 517, 692, 5841, 2.75108558519118], ['mouse', 93.12872886657715, 1207, 843, 3510, 3.072660903831395], ['mouse', 96.84152007102966, 1263, 978, 10788, 3.108946497316985]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1107]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1607]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 977, screen_y= 544, value= None), value= tvmonitor) [0.5509]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 939, screen_y= 885, value= None), value= keyboard) [0.9669]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1207, screen_y= 843, value= None), value= mouse) [1.3253]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1263, screen_y= 978, value= None), value= mouse) [1.6857]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1421, screen_y= 789, value= None), value= laptop) [2.1423]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 584, screen_y= 673, value= None), value= book) [2.5547]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 541, screen_y= 675, value= None), value= book) [2.8713]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 517, screen_y= 692, value= None), value= book) [3.1374]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 473, screen_y= 680, value= None), value= book) [3.3997]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 419, screen_y= 695, value= None), value= book) [3.6966]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 399, screen_y= 679, value= None), value= book) [4.0792]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 359, screen_y= 697, value= None), value= book) [4.3249]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 359, screen_y= 697, value= None), value= book) [4.3249]']","[[840, 525, 0.1107], [840, 525, 0.1607], [977, 544, 0.5509], [939, 885, 0.9669], [1207, 843, 1.3253], [1263, 978, 1.6857], [1421, 789, 2.1423], [584, 673, 2.5547], [541, 675, 2.8713], [517, 692, 3.1374], [473, 680, 3.3997], [419, 695, 3.6966], [399, 679, 4.0792], [359, 697, 4.3249], [359, 697, 4.3249]]"
000000030947.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.71402883529665, 1372, 482, 146289, 3.135272981038391], ['keyboard', 99.76725578308105, 1260, 787, 123826, 3.135753102289435], ['book', 62.119358777999885, 423, 796, 62988, 2.7328124981824478], ['book', 69.71905827522278, 298, 548, 19890, 2.822990209102952], ['book', 64.74870443344115, 332, 547, 18825, 2.7643858453342354], ['book', 77.00517177581787, 405, 543, 18574, 2.9058870464813293], ['book', 70.65672278404236, 471, 545, 18500, 2.833870587648747], ['bottle', 85.94664335250854, 1607, 666, 16038, 3.0018405437418214], ['mouse', 88.24626207351685, 1587, 812, 12827, 3.025380284450525], ['remote', 78.94554734230043, 605, 900, 14628, 2.9272821195567755]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.12]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.17]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 471, screen_y= 545, value= None), value= book) [0.6628]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 405, screen_y= 543, value= None), value= book) [1.0477]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 332, screen_y= 547, value= None), value= book) [1.301]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 298, screen_y= 548, value= None), value= book) [1.578]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 423, screen_y= 796, value= None), value= book) [1.9686]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 605, screen_y= 900, value= None), value= remote) [2.3991]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1260, screen_y= 787, value= None), value= keyboard) [2.8448]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1372, screen_y= 482, value= None), value= tvmonitor) [3.3402]', '_visuallocation(color= None, screen_x= 1607, screen_y= 666, value= None) [3.3902]']","[[840, 525, 0.12], [840, 525, 0.17], [471, 545, 0.6628], [405, 543, 1.0477], [332, 547, 1.301], [298, 548, 1.578], [423, 796, 1.9686], [605, 900, 2.3991], [1260, 787, 2.8448], [1372, 482, 3.3402], [1607, 666, 3.3902]]"
