name,object_info,actr_data,actr_data_processed
000000000486.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bowl', 81.9259762763977, 824, 892, 58891, 0.24511101074238617], ['knife', 65.15796184539795, 639, 526, 532, 5.1809126852148815]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1707]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.2207]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 639, screen_y= 526, value= None), value= knife) [0.6846]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 824, screen_y= 892, value= None), value= bowl) [0.8782]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 824, screen_y= 892, value= None), value= bowl) [0.8782]']","[[840, 525, 0.1707], [840, 525, 0.2207], [639, 526, 0.6846], [824, 892, 0.8782], [824, 892, 0.8782]]"
000000009527.jpg,"[['laptop', 99.87343549728394, 893, 562, 173052, 0.9180647765441802], ['bottle', 96.95888757705687, 286, 402, 18468, 3.1852340893769115], ['cup', 67.4769401550293, 1189, 507, 13794, 3.8395410160811676], ['cup', 96.900475025177, 370, 502, 11919, 3.6237424566620557], ['bowl', 93.57607364654541, 350, 710, 34069, 2.608398035989347], ['remote', 79.69592809677123, 203, 744, 16113, 3.5177157495647795], ['mouse', 99.68901872634888, 1142, 656, 7800, 4.019381381836816]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 893, screen_y= 562, value= ), value= laptop) [0.2804]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1142, screen_y= 656, value= None), value= mouse) [0.7145]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1189, screen_y= 507, value= None), value= cup) [1.0175]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 370, screen_y= 502, value= None), value= cup) [1.4679]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 286, screen_y= 402, value= None), value= bottle) [1.8835]', '_visuallocation(color= None, screen_x= 350, screen_y= 710, value= None) [1.9335]']","[[893, 562, 0.2804], [1142, 656, 0.7145], [1189, 507, 1.0175], [370, 502, 1.4679], [286, 402, 1.8835], [350, 710, 1.9335]]"
000000015266.jpg,"[['bowl', 99.29996728897095, 1375, 366, 80100, 3.516995554504914], ['diningtable', 88.13663721084595, 859, 626, 1384933, 0.7861213023435004], ['cup', 99.80467557907104, 365, 358, 121396, 3.096143689350981], ['knife', 95.81236839294434, 1446, 821, 113544, 3.2038344401756724]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 859, screen_y= 626, value= ), value= diningtable) [0.2723]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 365, screen_y= 358, value= None), value= cup) [0.6552]', '_visuallocation(color= None, screen_x= 1375, screen_y= 366, value= None) [0.7052]']","[[859, 626, 0.2723], [365, 358, 0.6552], [1375, 366, 0.7052]]"
000000018670.jpg,"[['banana', 84.98049974441528, 876, 256, 131490, 3.208304943138577], ['diningtable', 93.94052624702455, 857, 570, 1362240, 0.7701099964652828], ['bowl', 97.96120524406432, 1285, 885, 193264, 2.681028896334711], ['spoon', 88.26966285705566, 1386, 572, 40192, 4.355593111217012], ['spoon', 80.69633245468141, 1208, 705, 27192, 4.8360416216577775]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 857, screen_y= 570, value= ), value= diningtable) [0.2618]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 876, screen_y= 256, value= None), value= banana) [0.7726]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1208, screen_y= 705, value= None), value= spoon) [1.4133]', '_visuallocation(color= None, screen_x= 1285, screen_y= 885, value= None) [1.4633]']","[[857, 570, 0.2618], [876, 256, 0.7726], [1208, 705, 1.4133], [1285, 885, 1.4633]]"
000000019589.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sofa', 99.11782145500185, 1184, 675, 634176, 0.8048557082142941], ['vase', 89.41099047660828, 1504, 332, 11655, 4.904512601774953], ['chair', 89.92187976837158, 297, 430, 80668, 2.964208227764249], ['bowl', 96.62150740623474, 471, 631, 26668, 3.999225779716412], ['vase', 70.18959522247314, 1441, 362, 5264, 5.941400207000504], ['vase', 89.84581232070923, 1595, 372, 9372, 5.117669959526115]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1731]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.2231]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1184, screen_y= 675, value= None), value= sofa) [0.5358]', '_visuallocation(color= None, screen_x= 471, screen_y= 631, value= None) [0.5858]']","[[840, 525, 0.1731], [840, 525, 0.2231], [1184, 675, 0.5358], [471, 631, 0.5858]]"
000000020601.jpg,"[['chair', 91.49104952812195, 723, 136, 73390, 3.69499515795007], ['diningtable', 99.62602853775023, 855, 649, 1068286, 0.931789757556267], ['bowl', 97.49188423156738, 397, 725, 89979, 3.427678546979948], ['chair', 80.3267002105713, 276, 122, 50820, 4.192631943326519], ['sofa', 73.40779304504396, 1147, 143, 63376, 4.061908649499147], ['cup', 85.25879383087158, 1419, 432, 80032, 3.6789061736589104], ['spoon', 61.939746141433716, 672, 551, 24024, 5.201808585880672], ['sandwich', 80.4562211036682, 941, 580, 50358, 4.200153299040452], ['sandwich', 70.88119983673096, 1177, 665, 48326, 4.368049040663172]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 941, screen_y= 580, value= ), value= sandwich) [0.5185]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 855, screen_y= 649, value= None), value= diningtable) [0.7153]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1177, screen_y= 665, value= None), value= sandwich) [1.1575]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1419, screen_y= 432, value= None), value= cup) [1.4989]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1147, screen_y= 143, value= None), value= sofa) [2.1105]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 723, screen_y= 136, value= None), value= chair) [2.6574]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 672, screen_y= 551, value= None), value= spoon) [3.1184]', '_visuallocation(color= None, screen_x= 397, screen_y= 725, value= None) [3.1684]']","[[941, 580, 0.5185], [855, 649, 0.7153], [1177, 665, 1.1575], [1419, 432, 1.4989], [1147, 143, 2.1105], [723, 136, 2.6574], [672, 551, 3.1184], [397, 725, 3.1684]]"
000000025192.jpg,"[['cup', 99.1252064704895, 1376, 183, 80968, 3.6085789716172845], ['diningtable', 89.06829357147217, 866, 569, 1345653, 0.904978654336159], ['sandwich', 83.45474004745482, 921, 646, 993894, 1.2730817387134403], ['fork', 81.01789355278017, 202, 296, 15478, 5.464927050204136]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 866, screen_y= 569, value= ), value= diningtable) [0.2715]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 921, screen_y= 646, value= None), value= sandwich) [0.519]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1376, screen_y= 183, value= None), value= cup) [1.0729]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 202, screen_y= 296, value= None), value= fork) [1.7648]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 202, screen_y= 296, value= None), value= fork) [1.7648]']","[[866, 569, 0.2715], [921, 646, 0.519], [1376, 183, 1.0729], [202, 296, 1.7648], [202, 296, 1.7648]]"
000000033652.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bowl', 89.86471891403198, 439, 134, 142560, -0.0]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1588]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.2088]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 439, screen_y= 134, value= None), value= bowl) [0.6253]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 439, screen_y= 134, value= None), value= bowl) [0.6253]']","[[840, 525, 0.1588], [840, 525, 0.2088], [439, 134, 0.6253], [439, 134, 0.6253]]"
000000042526.jpg,"[['bowl', 97.84801602363586, 1274, 136, 87285, 3.5924879385034085], ['spoon', 89.30293917655945, 1254, 294, 113088, 3.424881305676333], ['sandwich', 98.97947907447815, 586, 500, 195283, 2.77571964812994], ['sandwich', 98.75687956809998, 1011, 490, 200214, 2.75303412085259], ['diningtable', 75.644987821579, 811, 547, 1332405, 1.1242899410839715], ['cup', 92.34216809272766, 529, 64, 20608, 5.093901737047129]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 811, screen_y= 547, value= ), value= diningtable) [0.2]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 811, screen_y= 547, value= ), value= diningtable) [0.3]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1011, screen_y= 490, value= None), value= sandwich) [0.4928]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 586, screen_y= 500, value= None), value= sandwich) [0.6881]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1254, screen_y= 294, value= None), value= spoon) [1.0859]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 529, screen_y= 64, value= None), value= cup) [1.2249]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 529, screen_y= 64, value= None), value= cup) [1.2249]']","[[811, 547, 0.2], [811, 547, 0.3], [1011, 490, 0.4928], [586, 500, 0.6881], [1254, 294, 1.0859], [529, 64, 1.2249], [529, 64, 1.2249]]"
000000045282.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['vase', 99.49156641960144, 1257, 631, 541500, 0.32436402134388936], ['bowl', 93.04416179656981, 764, 898, 77616, 2.333932138780833]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1663]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.2163]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 764, screen_y= 898, value= None), value= bowl) [0.632]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1257, screen_y= 631, value= None), value= vase) [0.9814]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1257, screen_y= 631, value= None), value= vase) [0.9814]']","[[840, 525, 0.1663], [840, 525, 0.2163], [764, 898, 0.632], [1257, 631, 0.9814], [1257, 631, 0.9814]]"
