name,object_info,actr_data,actr_data_processed
000000001171.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['train', 99.23114776611328, 729, 532, 774974, 3.1283334088876162], ['car', 63.92863988876343, 141, 811, 22440, 2.7520066293134517]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1185]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1685]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 729, screen_y= 532, value= None), value= train) [0.4898]', '_visuallocation(color= None, screen_x= 141, screen_y= 811, value= None) [0.5398]']","[[840, 525, 0.1185], [840, 525, 0.1685], [729, 532, 0.4898], [141, 811, 0.5398]]"
000000006810.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 97.71372079849243, 917, 341, 27680, 3.114455351603248]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1159]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1659]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 917, screen_y= 341, value= None), value= clock) [0.5093]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 917, screen_y= 341, value= None), value= clock) [0.5093]']","[[840, 525, 0.1159], [840, 525, 0.1659], [917, 341, 0.5093], [917, 341, 0.5093]]"
000000008179.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['traffic light', 83.48981142044067, 1228, 330, 236376, 2.9735914118714826], ['car', 99.290531873703, 428, 613, 22968, 3.1288718930985446]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1085]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1585]', '_visuallocation(color= None, screen_x= 428, screen_y= 613, value= None) [0.2085]']","[[840, 525, 0.1085], [840, 525, 0.1585], [428, 613, 0.2085]]"
000000012892.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bus', 99.99107122421265, 959, 590, 859248, 3.1351978761276977], ['car', 96.9063937664032, 227, 905, 58491, 3.1069791536153644]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1105]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1605]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 959, screen_y= 590, value= None), value= bus) [0.5095]', '_visuallocation(color= None, screen_x= 227, screen_y= 905, value= None) [0.5595]']","[[840, 525, 0.1105], [840, 525, 0.1605], [959, 590, 0.5095], [227, 905, 0.5595]]"
000000014044.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['car', 83.93574953079224, 314, 463, 187109, 2.978292153241258], ['bicycle', 97.02419638633728, 604, 609, 410795, 3.1080740523450574], ['motorbike', 84.82945561408997, 1073, 642, 418872, 2.9876598675955823]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1112]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1612]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 604, screen_y= 609, value= None), value= bicycle) [0.5749]', '_visuallocation(color= None, screen_x= 314, screen_y= 463, value= None) [0.6249]']","[[840, 525, 0.1112], [840, 525, 0.1612], [604, 609, 0.5749], [314, 463, 0.6249]]"
000000019194.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.54448938369751, 1015, 537, 521266, 3.1311707917108103]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1112]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1612]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1015, screen_y= 537, value= None), value= refrigerator) [0.5811]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1015, screen_y= 537, value= None), value= refrigerator) [0.5811]']","[[840, 525, 0.1112], [840, 525, 0.1612], [1015, 537, 0.5811], [1015, 537, 0.5811]]"
000000030448.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['boat', 88.54472041130066, 1104, 734, 311712, 3.0258286672181427], ['truck', 98.5745370388031, 422, 759, 240345, 3.122356117031877]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1169]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1669]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1104, screen_y= 734, value= None), value= boat) [0.6625]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 422, screen_y= 759, value= None), value= truck) [1.1356]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 422, screen_y= 759, value= None), value= truck) [1.1356]']","[[840, 525, 0.1169], [840, 525, 0.1669], [1104, 734, 0.6625], [422, 759, 1.1356], [422, 759, 1.1356]]"
000000041054.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['truck', 99.18510913848877, 830, 577, 751712, 3.127915698704995]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1053]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1553]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 830, screen_y= 577, value= None), value= truck) [0.4526]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 830, screen_y= 577, value= None), value= truck) [0.4526]']","[[840, 525, 0.1053], [840, 525, 0.1553], [830, 577, 0.4526], [830, 577, 0.4526]]"
000000042690.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['motorbike', 99.83968138694763, 1139, 665, 182823, 3.133834923293624], ['motorbike', 99.79519844055176, 598, 630, 104192, 3.1334340140666024], ['car', 96.79082632064821, 1484, 654, 32745, 3.105903704357812]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1199]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1699]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 598, screen_y= 630, value= None), value= motorbike) [0.627]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1139, screen_y= 665, value= None), value= motorbike) [1.2067]', '_visuallocation(color= None, screen_x= 1484, screen_y= 654, value= None) [1.2567]']","[[840, 525, 0.1199], [840, 525, 0.1699], [598, 630, 0.627], [1139, 665, 1.2067], [1484, 654, 1.2567]]"
000000044718.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['motorbike', 99.89712238311769, 1119, 457, 512272, 3.1343523285239154], ['motorbike', 99.89749789237976, 524, 607, 776403, 3.1343557098824237], ['car', 98.44822883605957, 132, 50, 22048, 3.1212014120113105]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1124]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1624]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1119, screen_y= 457, value= None), value= motorbike) [0.5044]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 524, screen_y= 607, value= None), value= motorbike) [0.9758]', '_visuallocation(color= None, screen_x= 132, screen_y= 50, value= None) [1.0258]']","[[840, 525, 0.1124], [840, 525, 0.1624], [1119, 457, 0.5044], [524, 607, 0.9758], [132, 50, 1.0258]]"
000000051310.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['train', 98.87406229972841, 810, 630, 906660, 3.125088061431235], ['car', 76.11683011054994, 1083, 1041, 73718, 2.893420867412578]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1121]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1621]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 810, screen_y= 630, value= None), value= train) [0.5099]', '_visuallocation(color= None, screen_x= 1083, screen_y= 1041, value= None) [0.5599]']","[[840, 525, 0.1121], [840, 525, 0.1621], [810, 630, 0.5099], [1083, 1041, 0.5599]]"
000000059114.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['truck', 99.86596703529358, 986, 621, 507204, 3.134071734386664], ['car', 97.1510648727417, 130, 614, 41699, 3.1092516866535522]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1117]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1617]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 986, screen_y= 621, value= None), value= truck) [0.4923]', '_visuallocation(color= None, screen_x= 130, screen_y= 614, value= None) [0.5423]']","[[840, 525, 0.1117], [840, 525, 0.1617], [986, 621, 0.4923], [130, 614, 0.5423]]"
000000062942.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['truck', 99.60861802101135, 783, 650, 939520, 3.131750292390884]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1159]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1659]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 783, screen_y= 650, value= None), value= truck) [0.4537]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 783, screen_y= 650, value= None), value= truck) [0.4537]']","[[840, 525, 0.1159], [840, 525, 0.1659], [783, 650, 0.4537], [783, 650, 0.4537]]"
000000063353.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.97177720069885, 835, 546, 623070, 3.1350242997225073], ['car', 99.14748072624208, 284, 254, 46920, 3.127574138847916]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1167]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1667]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 835, screen_y= 546, value= None), value= refrigerator) [0.4317]', '_visuallocation(color= None, screen_x= 284, screen_y= 254, value= None) [0.4817]']","[[840, 525, 0.1167], [840, 525, 0.1667], [835, 546, 0.4317], [284, 254, 0.4817]]"
