name,object_info,actr_data,actr_data_processed
000000000164.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['chair', 97.99032211303712, 703, 1036, 51832, 3.1163502785402972], ['bottle', 83.80216956138611, 1004, 496, 969, 2.7493085193360773], ['bottle', 82.84648656845094, 1035, 495, 864, 2.672695810208464], ['microwave', 76.54908895492555, 1062, 582, 7980, 2.897589146291199], ['bottle', 64.78356122970581, 356, 665, 4446, 2.761339390463157]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1131]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1631]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1004, screen_y= 496, value= None), value= bottle) [0.5447]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1035, screen_y= 495, value= None), value= bottle) [0.8159]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1062, screen_y= 582, value= None), value= microwave) [1.0968]', '_visuallocation(color= None, screen_x= 703, screen_y= 1036, value= None) [1.1468]']","[[840, 525, 0.1131], [840, 525, 0.1631], [1004, 496, 0.5447], [1035, 495, 0.8159], [1062, 582, 1.0968], [703, 1036, 1.1468]]"
000000001771.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bed', 99.87096190452576, 806, 833, 423936, 3.1334649701863615], ['chair', 99.57911372184752, 1453, 860, 87630, 3.1308319704594694]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1151]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1651]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 806, screen_y= 833, value= None), value= bed) [0.8133]', '_visuallocation(color= None, screen_x= 1453, screen_y= 860, value= None) [0.8633]']","[[840, 525, 0.1151], [840, 525, 0.1651], [806, 833, 0.8133], [1453, 860, 0.8633]]"
000000005649.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bed', 99.9842882156372, 889, 779, 820057, 3.1344851018732856], ['chair', 97.64857292175293, 344, 519, 71920, 3.113202678304214], ['backpack', 75.10695457458495, 479, 645, 19610, 2.8814457967067657]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.112]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.162]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 889, screen_y= 779, value= None), value= bed) [0.5722]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 479, screen_y= 645, value= None), value= backpack) [1.0861]', '_visuallocation(color= None, screen_x= 344, screen_y= 519, value= None) [1.1361]']","[[840, 525, 0.112], [840, 525, 0.162], [889, 779, 0.5722], [479, 645, 1.0861], [344, 519, 1.1361]]"
000000006608.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 76.21055245399475, 551, 488, 34680, 2.893815988615643], ['laptop', 99.62111711502077, 1045, 528, 30816, 3.1312114374920843], ['keyboard', 99.4969606399536, 486, 683, 28800, 3.130089277616546], ['chair', 99.49731230735779, 1481, 829, 115104, 3.1300924582397722], ['laptop', 73.96121621131897, 1165, 516, 9126, 2.8685045666902504], ['bottle', 82.07520842552184, 1381, 516, 3440, 2.956719999079439], ['mouse', 85.68774461746216, 322, 691, 1092, 2.829221606407763]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1185]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1685]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1045, screen_y= 528, value= None), value= laptop) [0.6165]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1165, screen_y= 516, value= None), value= laptop) [1.0054]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1381, screen_y= 516, value= None), value= bottle) [1.3986]', '_visuallocation(color= None, screen_x= 1481, screen_y= 829, value= None) [1.4486]']","[[840, 525, 0.1185], [840, 525, 0.1685], [1045, 528, 0.6165], [1165, 516, 1.0054], [1381, 516, 1.3986], [1481, 829, 1.4486]]"
000000007220.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 99.97885227203369, 891, 617, 1402512, 3.134436198127031], ['bottle', 93.81520748138428, 753, 217, 55047, 3.077111622375638], ['chair', 94.51417922973631, 1490, 299, 87696, 3.0837992891371697], ['bottle', 99.69988465309143, 996, 319, 67137, 3.1319225675968747], ['cup', 98.65307211875916, 1123, 334, 21204, 3.1224215309034813], ['bottle', 93.2650089263916, 788, 406, 27404, 3.071814126974291], ['fork', 81.49428963661194, 462, 479, 20480, 2.951691631211648], ['knife', 72.78672456741333, 1422, 699, 27636, 2.855139185474426], ['cup', 83.6881458759308, 701, 773, 46550, 2.9750325130645145]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1179]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1679]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 891, screen_y= 617, value= None), value= diningtable) [0.4426]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 788, screen_y= 406, value= None), value= bottle) [0.8528]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 753, screen_y= 217, value= None), value= bottle) [1.3076]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 996, screen_y= 319, value= None), value= bottle) [1.6846]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1123, screen_y= 334, value= None), value= cup) [2.1279]', '_visuallocation(color= None, screen_x= 1490, screen_y= 299, value= None) [2.1779]']","[[840, 525, 0.1179], [840, 525, 0.1679], [891, 617, 0.4426], [788, 406, 0.8528], [753, 217, 1.3076], [996, 319, 1.6846], [1123, 334, 2.1279], [1490, 299, 2.1779]]"
000000008676.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bed', 93.50674748420715, 670, 757, 734290, 3.074145269120277], ['chair', 69.84705924987793, 1610, 675, 24354, 2.82125617503199]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1092]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1592]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 670, screen_y= 757, value= None), value= bed) [0.6358]', '_visuallocation(color= None, screen_x= 1610, screen_y= 675, value= None) [0.6858]']","[[840, 525, 0.1092], [840, 525, 0.1592], [670, 757, 0.6358], [1610, 675, 0.6858]]"
000000009119.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sofa', 96.39902710914612, 1259, 870, 402624, 3.101596179545263], ['chair', 96.25064730644226, 713, 899, 96940, 3.1002077582225764], ['tvmonitor', 72.64439463615417, 743, 659, 9916, 2.8535122847661243], ['laptop', 81.49177432060243, 743, 663, 11088, 2.951664525592414]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1117]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1617]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 743, screen_y= 659, value= None), value= tvmonitor) [0.5594]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 743, screen_y= 663, value= None), value= laptop) [0.8343]', '_visuallocation(color= None, screen_x= 713, screen_y= 899, value= None) [0.8843]']","[[840, 525, 0.1117], [840, 525, 0.1617], [743, 659, 0.5594], [743, 663, 0.8343], [713, 899, 0.8843]]"
000000017182.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['book', 78.07946801185608, 907, 706, 19305, 2.9145472482682186], ['chair', 74.26131963729857, 633, 715, 24462, 2.871904321816454]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.109]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.159]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 907, screen_y= 706, value= None), value= book) [0.5061]', '_visuallocation(color= None, screen_x= 633, screen_y= 715, value= None) [0.5561]']","[[840, 525, 0.109], [840, 525, 0.159], [907, 706, 0.5061], [633, 715, 0.5561]]"
000000020481.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['laptop', 99.22125339508057, 863, 498, 553664, 3.127591898669599], ['chair', 97.69253134727478, 1550, 308, 100056, 3.113608192234929], ['cup', 67.57868528366089, 1577, 588, 24150, 2.79471607631869], ['mouse', 97.7044403553009, 1331, 826, 31688, 3.113718019361412]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1124]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1624]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 863, screen_y= 498, value= None), value= laptop) [0.4865]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1331, screen_y= 826, value= None), value= mouse) [0.9633]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1577, screen_y= 588, value= None), value= cup) [1.3582]', '_visuallocation(color= None, screen_x= 1550, screen_y= 308, value= None) [1.4082]']","[[840, 525, 0.1124], [840, 525, 0.1624], [863, 498, 0.4865], [1331, 826, 0.9633], [1577, 588, 1.3582], [1550, 308, 1.4082]]"
000000021452.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['motorbike', 98.79347085952759, 1039, 239, 136496, 3.123702110293586], ['motorbike', 66.18552207946777, 794, 681, 1267683, 2.778257069630539], ['chair', 99.52391386032104, 1555, 265, 69008, 3.13033301796879]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.108]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.158]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 794, screen_y= 681, value= None), value= motorbike) [0.5678]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1039, screen_y= 239, value= None), value= motorbike) [0.9896]', '_visuallocation(color= None, screen_x= 1555, screen_y= 265, value= None) [1.0396]']","[[840, 525, 0.108], [840, 525, 0.158], [794, 681, 0.5678], [1039, 239, 0.9896], [1555, 265, 1.0396]]"
