name,object_info,actr_data,actr_data_processed
000000006518.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 95.34076452255249, 506, 437, 43255, 3.10846484255882]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1162]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1662]', '_visuallocation(color= None, screen_x= 506, screen_y= 437, value= None) [0.2162]']","[[840, 525, 0.1162], [840, 525, 0.1662], [506, 437, 0.2162]]"
000000007753.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['book', 88.95385861396791, 667, 596, 275310, 3.046120702158668], ['clock', 99.66431856155396, 1314, 658, 174283, 3.1484197193742416], ['book', 70.26931047439575, 251, 532, 158496, 2.842977715332227]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1142]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1642]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 667, screen_y= 596, value= None), value= book) [0.5139]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 251, screen_y= 532, value= None), value= book) [0.9749]', '_visuallocation(color= None, screen_x= 1314, screen_y= 658, value= None) [1.0249]']","[[840, 525, 0.1142], [840, 525, 0.1642], [667, 596, 0.5139], [251, 532, 0.9749], [1314, 658, 1.0249]]"
000000009509.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 99.77378845214844, 823, 171, 62805, 3.149407401299863]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1181]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1681]', '_visuallocation(color= None, screen_x= 823, screen_y= 171, value= None) [0.2181]']","[[840, 525, 0.1181], [840, 525, 0.1681], [823, 171, 0.2181]]"
000000017870.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 96.19312286376952, 259, 715, 44702, 3.116487083255628]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1149]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1649]', '_visuallocation(color= None, screen_x= 259, screen_y= 715, value= None) [0.2149]']","[[840, 525, 0.1149], [840, 525, 0.1649], [259, 715, 0.2149]]"
000000020137.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 92.48920679092407, 412, 765, 23114, 3.0811130205515664]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1262]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1762]', '_visuallocation(color= None, screen_x= 412, screen_y= 765, value= None) [0.2262]']","[[840, 525, 0.1262], [840, 525, 0.1762], [412, 765, 0.2262]]"
000000026227.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 90.62355756759644, 392, 329, 75993, 3.0627947035325973]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1123]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1623]', '_visuallocation(color= None, screen_x= 392, screen_y= 329, value= None) [0.2123]']","[[840, 525, 0.1123], [840, 525, 0.1623], [392, 329, 0.2123]]"
000000027873.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 99.27926659584044, 1041, 758, 20294, 3.1449361863381324]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1234]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1734]', '_visuallocation(color= None, screen_x= 1041, screen_y= 758, value= None) [0.2234]']","[[840, 525, 0.1234], [840, 525, 0.1734], [1041, 758, 0.2234]]"
000000052151.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.89486932754515, 818, 542, 101304, 3.1504984580054303], ['chair', 78.4359574317932, 321, 897, 118094, 2.9352881128762225], ['clock', 99.58568811416626, 457, 141, 19720, 3.1477095501366787]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1144]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1644]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 818, screen_y= 542, value= None), value= tvmonitor) [0.3637]', '_visuallocation(color= None, screen_x= 457, screen_y= 141, value= None) [0.4137]']","[[840, 525, 0.1144], [840, 525, 0.1644], [818, 542, 0.3637], [457, 141, 0.4137]]"
000000054336.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 99.44296479225159, 512, 729, 40053, 3.1464189456704132]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1142]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1642]', '_visuallocation(color= None, screen_x= 512, screen_y= 729, value= None) [0.2142]']","[[840, 525, 0.1142], [840, 525, 0.1642], [512, 729, 0.2142]]"
000000056036.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['clock', 98.20157289505005, 1210, 258, 24900, 3.1351083662635957], ['book', 77.54918932914735, 1284, 637, 20424, 2.9255114458711975], ['book', 71.26299142837523, 1288, 670, 22560, 2.8544692320953913], ['book', 63.97525668144226, 1233, 945, 17459, 2.7687315744526386]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1125]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1625]', '_visuallocation(color= None, screen_x= 1210, screen_y= 258, value= None) [0.2125]']","[[840, 525, 0.1125], [840, 525, 0.1625], [1210, 258, 0.2125]]"
000000056108.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sofa', 93.92992854118349, 329, 895, 141226, 3.0950306804548986], ['clock', 65.86704254150389, 480, 382, 29848, 2.7912964737814883], ['pottedplant', 93.1297242641449, 448, 562, 24025, 3.087325257914158], ['chair', 99.69958066940308, 1038, 659, 47784, 3.148737998204787], ['chair', 92.62879490852356, 1235, 669, 50690, 3.0824702168719726], ['chair', 97.06639051437378, 1372, 665, 32200, 3.1246323054573275]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1193]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1693]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1038, screen_y= 659, value= None), value= chair) [0.6155]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1235, screen_y= 669, value= None), value= chair) [0.979]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1372, screen_y= 665, value= None), value= chair) [1.3654]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 448, screen_y= 562, value= None), value= pottedplant) [1.9722]', '_visuallocation(color= None, screen_x= 480, screen_y= 382, value= None) [2.0222]']","[[840, 525, 0.1193], [840, 525, 0.1693], [1038, 659, 0.6155], [1235, 669, 0.979], [1372, 665, 1.3654], [448, 562, 1.9722], [480, 382, 2.0222]]"
