name,object_info,actr_data,actr_data_processed
000000002697.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['cup', 99.95037913322449, 512, 513, 137655, 3.144249605914776], ['diningtable', 99.32225346565248, 896, 710, 1465241, 3.1385772501553286], ['broccoli', 96.12907767295836, 1207, 695, 15488, 3.1091382055977252], ['broccoli', 61.52450442314148, 958, 714, 23504, 2.7324674233591533], ['broccoli', 61.647868156433105, 900, 1086, 12800, 2.733960302409303], ['carrot', 71.99220061302184, 1212, 265, 2160, 2.842659362362162], ['spoon', 76.86036229133606, 457, 385, 6083, 2.9111001387127042], ['broccoli', 66.83745980262756, 734, 715, 8880, 2.7960423270848227], ['carrot', 64.08185958862305, 839, 1018, 4130, 2.7628713815553048], ['carrot', 62.47606873512268, 1101, 1084, 6300, 2.743944743320539]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.109]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.159]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 896, screen_y= 710, value= None), value= diningtable) [0.5161]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 958, screen_y= 714, value= None), value= broccoli) [0.9426]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 734, screen_y= 715, value= None), value= broccoli) [1.3006]', '_visuallocation(color= None, screen_x= 512, screen_y= 513, value= None) [1.3506]']","[[840, 525, 0.109], [840, 525, 0.159], [896, 710, 0.5161], [958, 714, 0.9426], [734, 715, 1.3006], [512, 513, 1.3506]]"
000000003845.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['fork', 85.32882332801819, 956, 313, 98512, 3.002280966399573], ['diningtable', 95.48725485801695, 872, 650, 1323044, 3.103100072386288], ['cup', 97.17258810997008, 615, 169, 40309, 3.118869169836679], ['chair', 69.22360062599182, 1548, 212, 30396, 2.824064318278736], ['carrot', 81.3176214694977, 735, 402, 17270, 2.959863551068693], ['broccoli', 72.33563065528871, 645, 749, 26394, 2.860048639297163]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1174]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1674]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 872, screen_y= 650, value= None), value= diningtable) [0.4794]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 645, screen_y= 749, value= None), value= broccoli) [0.9064]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 735, screen_y= 402, value= None), value= carrot) [1.3624]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 956, screen_y= 313, value= None), value= fork) [1.7435]', '_visuallocation(color= None, screen_x= 615, screen_y= 169, value= None) [1.7935]']","[[840, 525, 0.1174], [840, 525, 0.1674], [872, 650, 0.4794], [645, 749, 0.9064], [735, 402, 1.3624], [956, 313, 1.7435], [615, 169, 1.7935]]"
000000007787.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['pizza', 81.04217648506166, 1417, 429, 81600, 2.9568995378779634], ['pizza', 99.19379949569702, 670, 814, 523873, 3.1374124172883744]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1105]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1605]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 670, screen_y= 814, value= None), value= pizza) [0.6032]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1417, screen_y= 429, value= None), value= pizza) [1.166]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1417, screen_y= 429, value= None), value= pizza) [1.166]']","[[840, 525, 0.1105], [840, 525, 0.1605], [670, 814, 0.6032], [1417, 429, 1.166], [1417, 429, 1.166]]"
000000007890.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['laptop', 99.8557984828949, 838, 724, 252324, 3.143397987178646], ['pottedplant', 83.78127217292786, 1125, 536, 65408, 2.986083611055318], ['cup', 99.94025826454164, 481, 734, 26244, 3.1441585184559844], ['mouse', 99.22178387641908, 1240, 770, 5950, 3.137636707991516]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1135]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1635]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 838, screen_y= 724, value= None), value= laptop) [0.638]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1125, screen_y= 536, value= None), value= pottedplant) [1.1355]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1240, screen_y= 770, value= None), value= mouse) [1.5587]', '_visuallocation(color= None, screen_x= 481, screen_y= 734, value= None) [1.6087]']","[[840, 525, 0.1135], [840, 525, 0.1635], [838, 724, 0.638], [1125, 536, 1.1355], [1240, 770, 1.5587], [481, 734, 1.6087]]"
000000015266.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bowl', 99.29996728897095, 1445, 436, 80100, 3.1383752741495576], ['diningtable', 88.1366491317749, 929, 696, 1384933, 3.0311161463067156], ['cup', 99.80467557907104, 435, 428, 121396, 3.142937299230071], ['knife', 95.81239223480223, 1516, 891, 113544, 3.106163932001173]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1138]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1638]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 929, screen_y= 696, value= None), value= diningtable) [0.5212]', '_visuallocation(color= None, screen_x= 435, screen_y= 428, value= None) [0.5712]']","[[840, 525, 0.1138], [840, 525, 0.1638], [929, 696, 0.5212], [435, 428, 0.5712]]"
000000016757.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bowl', 97.333025932312, 1018, 376, 112338, 3.1203557989510817], ['bowl', 94.58364248275757, 775, 439, 43089, 3.0945309242920342], ['bowl', 89.03889656066895, 1020, 448, 20758, 3.040227673083966], ['cup', 68.91053318977356, 516, 475, 103454, 2.820408422378214], ['orange', 94.39712166786194, 902, 774, 53074, 3.0927522132651215]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1178]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1678]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 775, screen_y= 439, value= None), value= bowl) [0.4021]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1020, screen_y= 448, value= None), value= bowl) [0.822]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1018, screen_y= 376, value= None), value= bowl) [1.0862]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 902, screen_y= 774, value= None), value= orange) [1.5723]', '_visuallocation(color= None, screen_x= 516, screen_y= 475, value= None) [1.6223]']","[[840, 525, 0.1178], [840, 525, 0.1678], [775, 439, 0.4021], [1020, 448, 0.822], [1018, 376, 1.0862], [902, 774, 1.5723], [516, 475, 1.6223]]"
000000018299.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['chair', 90.61373472213744, 788, 226, 197505, 3.055948815696718], ['bowl', 99.8484194278717, 1399, 591, 69741, 3.1433315077132984], ['diningtable', 97.69818186759949, 917, 724, 1414530, 3.123729914652854], ['bowl', 72.74510264396667, 959, 345, 33762, 2.864733284974314], ['bowl', 99.31872487068176, 992, 427, 35682, 3.1385452743493634], ['hot dog', 62.070447206497185, 935, 571, 23287, 2.7390686283095165], ['cup', 99.86579418182372, 726, 1009, 66816, 3.143488031927934]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1097]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1597]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 935, screen_y= 571, value= None), value= hot dog) [0.434]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 917, screen_y= 724, value= None), value= diningtable) [0.8179]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 992, screen_y= 427, value= None), value= bowl) [1.1362]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 959, screen_y= 345, value= None), value= bowl) [1.4824]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 788, screen_y= 226, value= None), value= chair) [1.9062]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1399, screen_y= 591, value= None), value= bowl) [2.4487]', '_visuallocation(color= None, screen_x= 726, screen_y= 1009, value= None) [2.4987]']","[[840, 525, 0.1097], [840, 525, 0.1597], [935, 571, 0.434], [917, 724, 0.8179], [992, 427, 1.1362], [959, 345, 1.4824], [788, 226, 1.9062], [1399, 591, 2.4487], [726, 1009, 2.4987]]"
000000021595.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['wine glass', 98.68531227111816, 402, 345, 171264, 3.132785376839998], ['diningtable', 99.11709427833557, 917, 658, 1333868, 3.136716067866691], ['pizza', 94.58208084106444, 920, 773, 1001984, 3.0945160461038514], ['fork', 67.37264394760132, 886, 191, 21500, 2.802358895615397], ['bottle', 93.52447986602785, 640, 213, 68105, 3.084385655018392], ['wine glass', 87.21461296081543, 744, 222, 61279, 3.0217268190313447], ['cup', 99.4304895401001, 1487, 337, 78876, 3.1395574763900846], ['knife', 97.19969630241394, 1511, 614, 53872, 3.1191205342154182]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1163]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1663]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 917, screen_y= 658, value= None), value= diningtable) [0.5352]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 920, screen_y= 773, value= None), value= pizza) [0.8685]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 744, screen_y= 222, value= None), value= wine glass) [1.3218]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 640, screen_y= 213, value= None), value= bottle) [1.5654]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 886, screen_y= 191, value= None), value= fork) [1.9652]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 402, screen_y= 345, value= None), value= wine glass) [2.2896]', '_visuallocation(color= None, screen_x= 1487, screen_y= 337, value= None) [2.3396]']","[[840, 525, 0.1163], [840, 525, 0.1663], [917, 658, 0.5352], [920, 773, 0.8685], [744, 222, 1.3218], [640, 213, 1.5654], [886, 191, 1.9652], [402, 345, 2.2896], [1487, 337, 2.3396]]"
000000022446.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bowl', 73.75175952911377, 579, 267, 159120, 2.876198637995554], ['bowl', 92.41676926612854, 441, 546, 231140, 3.073659419671881], ['diningtable', 63.875502347946174, 911, 655, 1195744, 2.7607876873971655], ['cup', 99.60240721702576, 1020, 264, 64232, 3.1411120406501785], ['bowl', 73.88097643852235, 1291, 401, 50700, 2.8776649875892875]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1086]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1586]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 911, screen_y= 655, value= None), value= diningtable) [0.4739]', '_visuallocation(color= None, screen_x= 1020, screen_y= 264, value= None) [0.5239]']","[[840, 525, 0.1086], [840, 525, 0.1586], [911, 655, 0.4739], [1020, 264, 0.5239]]"
000000030855.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['cup', 95.0693130493164, 1531, 400, 189520, 3.0991465302808767], ['diningtable', 98.29341769218443, 932, 643, 1449855, 3.1292018388519756], ['pizza', 97.5858509540558, 986, 789, 1021644, 3.1226933526363028], ['bottle', 94.2550778388977, 1020, 253, 52649, 3.0913953801787053], ['bottle', 95.3785479068756, 866, 267, 53395, 3.1020733932394933], ['knife', 90.79045057296752, 420, 424, 24986, 3.0576983142124647]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1183]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1683]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 932, screen_y= 643, value= None), value= diningtable) [0.5095]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 986, screen_y= 789, value= None), value= pizza) [0.7585]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 866, screen_y= 267, value= None), value= bottle) [1.2584]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1020, screen_y= 253, value= None), value= bottle) [1.6793]', '_visuallocation(color= None, screen_x= 1531, screen_y= 400, value= None) [1.7293]']","[[840, 525, 0.1183], [840, 525, 0.1683], [932, 643, 0.5095], [986, 789, 0.7585], [866, 267, 1.2584], [1020, 253, 1.6793], [1531, 400, 1.7293]]"
