name,object_info,actr_data,actr_data_processed
000000006595.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['fork', 98.15945625305176, 993, 217, 101520, 3.1241551707620263], ['diningtable', 93.38741302490234, 831, 561, 1283636, 3.0792465873348993], ['cup', 64.24418091773987, 618, 76, 45582, 2.7613845482044095], ['broccoli', 70.69379091262817, 900, 320, 27405, 2.8373280997401196], ['carrot', 97.84404039382936, 852, 423, 22962, 3.1212557784589126]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1202]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1702]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 831, screen_y= 561, value= None), value= diningtable) [0.4813]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 852, screen_y= 423, value= None), value= carrot) [0.8691]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 900, screen_y= 320, value= None), value= broccoli) [1.2344]', '_visuallocation(color= None, screen_x= 993, screen_y= 217, value= None) [1.2844]']","[[840, 525, 0.1202], [840, 525, 0.1702], [831, 561, 0.4813], [852, 423, 0.8691], [900, 320, 1.2344], [993, 217, 1.2844]]"
000000007090.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['pizza', 73.04031252861024, 936, 152, 129564, 2.864284993911289], ['diningtable', 81.90131187438966, 847, 559, 1327172, 2.962304895941635], ['pizza', 98.0958342552185, 747, 735, 561176, 3.123571129575148], ['cup', 98.85078668594359, 1351, 399, 138996, 3.130475712107637], ['fork', 99.11644458770752, 1197, 843, 75425, 3.132891940354336]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1144]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1644]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 847, screen_y= 559, value= None), value= diningtable) [0.4081]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 747, screen_y= 735, value= None), value= pizza) [0.8387]', '_visuallocation(color= None, screen_x= 1197, screen_y= 843, value= None) [0.8887]']","[[840, 525, 0.1144], [840, 525, 0.1644], [847, 559, 0.4081], [747, 735, 0.8387], [1197, 843, 0.8887]]"
000000007145.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['pizza', 89.82751965522766, 795, 549, 1382848, 3.04431121284801], ['fork', 61.78848147392273, 1483, 564, 78396, 2.731842851826711]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1161]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1661]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 795, screen_y= 549, value= None), value= pizza) [0.472]', '_visuallocation(color= None, screen_x= 1483, screen_y= 564, value= None) [0.522]']","[[840, 525, 0.1161], [840, 525, 0.1661], [795, 549, 0.472], [1483, 564, 0.522]]"
000000009050.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['wine glass', 94.65278387069702, 1384, 229, 151281, 3.091371188649013], ['book', 92.20252633094788, 266, 710, 299376, 3.06775301121387], ['wine glass', 85.48309803009033, 662, 88, 28899, 3.0000656989695185], ['bowl', 78.3336877822876, 149, 132, 68040, 2.923597035199874], ['wine glass', 94.33050155639648, 487, 153, 96036, 3.0882978605923435], ['wine glass', 98.65675568580627, 815, 156, 83160, 3.1287065372531115], ['wine glass', 96.73262238502502, 1103, 169, 85248, 3.110961200208602], ['carrot', 82.22696185112, 993, 511, 38214, 2.965784487152569], ['knife', 80.07096648216249, 1495, 611, 120060, 2.9425790727037637], ['fork', 70.0775682926178, 1318, 679, 94675, 2.83018580703085], ['spoon', 73.31187129020691, 1455, 688, 130910, 2.86737936979375]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1249]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1749]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 993, screen_y= 511, value= None), value= carrot) [0.564]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1103, screen_y= 169, value= None), value= wine glass) [0.9872]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1384, screen_y= 229, value= None), value= wine glass) [1.4197]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1495, screen_y= 611, value= None), value= knife) [1.8796]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1455, screen_y= 688, value= None), value= spoon) [2.2963]', '_visuallocation(color= None, screen_x= 1318, screen_y= 679, value= None) [2.3463]']","[[840, 525, 0.1249], [840, 525, 0.1749], [993, 511, 0.564], [1103, 169, 0.9872], [1384, 229, 1.4197], [1495, 611, 1.8796], [1455, 688, 2.2963], [1318, 679, 2.3463]]"
000000009156.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['fork', 89.7581934928894, 1164, 769, 121923, 3.0436189264310864]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1118]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1618]', '_visuallocation(color= None, screen_x= 1164, screen_y= 769, value= None) [0.2118]']","[[840, 525, 0.1118], [840, 525, 0.1618], [1164, 769, 0.2118]]"
000000010856.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 91.25742316246031, 808, 547, 1452090, 3.058488881638871], ['cake', 98.73198866844177, 911, 563, 341760, 3.1293929535986873], ['fork', 99.42784905433656, 526, 498, 85278, 3.1357153500111408]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.113]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.163]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 808, screen_y= 547, value= None), value= diningtable) [0.4475]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 911, screen_y= 563, value= None), value= cake) [0.8847]', '_visuallocation(color= None, screen_x= 526, screen_y= 498, value= None) [0.9347]']","[[840, 525, 0.113], [840, 525, 0.163], [808, 547, 0.4475], [911, 563, 0.8847], [526, 498, 0.9347]]"
000000011527.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['fork', 81.67804479598998, 488, 207, 132462, 2.959913998532224], ['sandwich', 80.14094829559326, 1119, 390, 718390, 2.9433384769513413]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1094]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1594]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1119, screen_y= 390, value= None), value= sandwich) [0.5378]', '_visuallocation(color= None, screen_x= 488, screen_y= 207, value= None) [0.5878]']","[[840, 525, 0.1094], [840, 525, 0.1594], [1119, 390, 0.5378], [488, 207, 0.5878]]"
000000015266.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bowl', 99.29996728897095, 1358, 349, 80100, 3.1345570471814552], ['diningtable', 88.13665509223938, 842, 609, 1384933, 3.0272979797815402], ['cup', 99.80466365814208, 348, 341, 121396, 3.1391189648077087], ['knife', 95.81236839294434, 1429, 804, 113544, 3.102345480743473]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1187]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1687]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 842, screen_y= 609, value= None), value= diningtable) [0.5438]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 348, screen_y= 341, value= None), value= cup) [1.045]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1358, screen_y= 349, value= None), value= bowl) [1.629]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1429, screen_y= 804, value= None), value= knife) [2.2263]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1429, screen_y= 804, value= None), value= knife) [2.2263]']","[[840, 525, 0.1187], [840, 525, 0.1687], [842, 609, 0.5438], [348, 341, 1.045], [1358, 349, 1.629], [1429, 804, 2.2263], [1429, 804, 2.2263]]"
000000023158.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 72.67149090766905, 829, 572, 1289688, 2.8600737734797295], ['knife', 68.19747090339659, 1118, 576, 294768, 2.808239804269319], ['fork', 69.92316246032715, 1173, 625, 361008, 2.8283921810180725], ['pizza', 90.86810350418092, 1057, 789, 536475, 3.054647919893347], ['cup', 72.95618653297423, 1336, 201, 122640, 2.8633253039959765], ['fork', 88.42864632606506, 1432, 616, 40470, 3.030255002158487]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1165]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1665]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 829, screen_y= 572, value= None), value= diningtable) [0.4035]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1118, screen_y= 576, value= None), value= knife) [0.7385]', '_visuallocation(color= None, screen_x= 1173, screen_y= 625, value= None) [0.7885]']","[[840, 525, 0.1165], [840, 525, 0.1665], [829, 572, 0.4035], [1118, 576, 0.7385], [1173, 625, 0.7885]]"
000000024231.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 93.78299117088318, 823, 571, 1289457, 3.083053623192818], ['fork', 99.39253926277159, 291, 497, 78771, 3.1353956896973925], ['knife', 78.8615584373474, 1421, 536, 86112, 2.929390960053964], ['knife', 98.85528087615968, 1299, 566, 94760, 3.130516646015978], ['spoon', 84.7833812236786, 1425, 634, 88908, 2.992778289391274]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1136]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1636]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 823, screen_y= 571, value= None), value= diningtable) [0.4449]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1299, screen_y= 566, value= None), value= knife) [1.0436]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1421, screen_y= 536, value= None), value= knife) [1.5128]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1425, screen_y= 634, value= None), value= spoon) [1.8698]', '_visuallocation(color= None, screen_x= 291, screen_y= 497, value= None) [1.9198]']","[[840, 525, 0.1136], [840, 525, 0.1636], [823, 571, 0.4449], [1299, 566, 1.0436], [1421, 536, 1.5128], [1425, 634, 1.8698], [291, 497, 1.9198]]"
