name,object_info,actr_data,actr_data_processed
000000001503.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 96.43160104751587, 959, 318, 196282, 3.111712993429248], ['laptop', 99.70239996910095, 429, 748, 323036, 3.141757567826142], ['keyboard', 99.83252882957458, 1199, 840, 143520, 3.142931018666967], ['mouse', 99.66241121292114, 773, 856, 13120, 3.1413966109786164]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.127]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.177]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 959, screen_y= 318, value= None), value= tvmonitor) [0.5671]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 773, screen_y= 856, value= None), value= mouse) [1.013]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 429, screen_y= 748, value= None), value= laptop) [1.4415]', '_visuallocation(color= None, screen_x= 1199, screen_y= 840, value= None) [1.4915]']","[[840, 525, 0.127], [840, 525, 0.177], [959, 318, 0.5671], [773, 856, 1.013], [429, 748, 1.4415], [1199, 840, 1.4915]]"
000000006608.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 76.2105405330658, 519, 456, 34680, 2.903628157058946], ['laptop', 99.62111711502077, 1013, 496, 30816, 3.1410237390485234], ['keyboard', 99.4969606399536, 454, 651, 28800, 3.139901579172985], ['chair', 99.49731230735779, 1449, 797, 115104, 3.1399047597962113], ['laptop', 73.9612638950348, 1133, 484, 9126, 2.878317408849302], ['bottle', 82.07519054412842, 1349, 484, 3440, 2.966532109588985], ['mouse', 85.68768501281737, 290, 659, 1092, 2.8390332901694446]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1204]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1704]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1013, screen_y= 496, value= None), value= laptop) [0.6232]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1133, screen_y= 484, value= None), value= laptop) [0.9157]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1349, screen_y= 484, value= None), value= bottle) [1.3399]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1449, screen_y= 797, value= None), value= chair) [1.7887]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 519, screen_y= 456, value= None), value= tvmonitor) [2.2291]', '_visuallocation(color= None, screen_x= 454, screen_y= 651, value= None) [2.2791]']","[[840, 525, 0.1204], [840, 525, 0.1704], [1013, 496, 0.6232], [1133, 484, 0.9157], [1349, 484, 1.3399], [1449, 797, 1.7887], [519, 456, 2.2291], [454, 651, 2.2791]]"
000000008583.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 97.52750396728516, 933, 521, 223095, 3.1218971414986085], ['keyboard', 99.43679571151732, 905, 923, 85113, 3.1393572426953265], ['book', 60.06571054458618, 380, 213, 2793, 2.710705433293535], ['book', 64.26753401756287, 380, 231, 3036, 2.762801057840668], ['mouse', 98.73367547988892, 1305, 884, 8217, 3.1329672697519806]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1145]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1645]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 933, screen_y= 521, value= None), value= tvmonitor) [0.4589]', '_visuallocation(color= None, screen_x= 905, screen_y= 923, value= None) [0.5089]']","[[840, 525, 0.1145], [840, 525, 0.1645], [933, 521, 0.4589], [905, 923, 0.5089]]"
000000015374.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['keyboard', 98.36918711662292, 1031, 840, 72150, 3.129638559245544], ['tvmonitor', 98.17366003990172, 1062, 377, 93925, 3.12784642303337], ['bottle', 93.93022656440736, 345, 655, 10082, 3.088027384515674], ['bottle', 74.28666353225708, 884, 577, 6420, 2.881987074997113], ['mouse', 96.942400932312, 1283, 832, 2964, 3.1137111066682834]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1125]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1625]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 884, screen_y= 577, value= None), value= bottle) [0.4681]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1062, screen_y= 377, value= None), value= tvmonitor) [0.9416]', '_visuallocation(color= None, screen_x= 1031, screen_y= 840, value= None) [0.9916]']","[[840, 525, 0.1125], [840, 525, 0.1625], [884, 577, 0.4681], [1062, 377, 0.9416], [1031, 840, 0.9916]]"
000000016669.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.9365508556366, 870, 473, 495261, 3.143867840415222], ['laptop', 91.37226343154907, 289, 785, 66080, 3.063180040839626], ['keyboard', 99.91053938865662, 939, 920, 135300, 3.143633681948583], ['tvmonitor', 99.02526736259459, 1538, 553, 102588, 3.1356243648304134], ['mouse', 99.0650713443756, 1337, 834, 12093, 3.1359861083564295]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.127]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.177]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 870, screen_y= 473, value= None), value= tvmonitor) [0.5831]', '_visuallocation(color= None, screen_x= 939, screen_y= 920, value= None) [0.6331]']","[[840, 525, 0.127], [840, 525, 0.177], [870, 473, 0.5831], [939, 920, 0.6331]]"
000000018571.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 76.20777487754822, 1129, 214, 324116, 2.9035972745123515], ['keyboard', 92.66036152839659, 1455, 581, 57812, 3.0757710030213015]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1122]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1622]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1129, screen_y= 214, value= None), value= tvmonitor) [0.6623]', '_visuallocation(color= None, screen_x= 1455, screen_y= 581, value= None) [0.7123]']","[[840, 525, 0.1122], [840, 525, 0.1622], [1129, 214, 0.6623], [1455, 581, 0.7123]]"
000000021190.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.53977465629578, 826, 577, 240957, 3.1402887164528215], ['keyboard', 98.1977641582489, 813, 933, 108398, 3.128067557366295], ['bottle', 99.71867799758913, 1555, 889, 32130, 3.141904448572501], ['remote', 92.17820763587952, 1255, 769, 10206, 3.071076372675771], ['mouse', 81.2316119670868, 1195, 888, 5035, 2.958579516679208]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1123]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1623]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 826, screen_y= 577, value= None), value= tvmonitor) [0.495]', '_visuallocation(color= None, screen_x= 813, screen_y= 933, value= None) [0.545]']","[[840, 525, 0.1123], [840, 525, 0.1623], [826, 577, 0.495], [813, 933, 0.545]]"
000000023575.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.69872832298279, 813, 670, 212294, 3.1417244340079216], ['keyboard', 81.25925064086914, 873, 943, 52500, 2.9589786641056404], ['mouse', 82.80466794967651, 1195, 1005, 8249, 2.975493734733509]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1194]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1694]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 813, screen_y= 670, value= None), value= tvmonitor) [0.5563]', '_visuallocation(color= None, screen_x= 873, screen_y= 943, value= None) [0.6063]']","[[840, 525, 0.1194], [840, 525, 0.1694], [813, 670, 0.5563], [873, 943, 0.6063]]"
000000024104.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 97.64811992645264, 550, 456, 88000, 3.123010800014], ['keyboard', 99.77601766586305, 782, 833, 82187, 3.1424216295290073], ['tvmonitor', 99.51459765434264, 873, 465, 72050, 3.140061080394077], ['tvmonitor', 99.33560490608215, 1128, 534, 98784, 3.138440919578112], ['cup', 99.19871687889099, 1194, 919, 14760, 3.1371997255603676], ['mouse', 86.54175996780396, 996, 912, 6175, 3.014546164777238]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1142]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1642]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 873, screen_y= 465, value= None), value= tvmonitor) [0.4186]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1128, screen_y= 534, value= None), value= tvmonitor) [0.8602]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1194, screen_y= 919, value= None), value= cup) [1.3474]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 996, screen_y= 912, value= None), value= mouse) [1.7194]', '_visuallocation(color= None, screen_x= 782, screen_y= 833, value= None) [1.7694]']","[[840, 525, 0.1142], [840, 525, 0.1642], [873, 465, 0.4186], [1128, 534, 0.8602], [1194, 919, 1.3474], [996, 912, 1.7194], [782, 833, 1.7694]]"
000000024880.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 90.79105854034424, 912, 603, 119840, 3.0574470190712786], ['laptop', 99.72334504127502, 434, 668, 84474, 3.141946555635384], ['keyboard', 99.75428581237793, 1022, 940, 39711, 3.142225655240698], ['book', 76.54226422309874, 721, 235, 7790, 2.9073248027373335], ['book', 73.56206178665161, 717, 256, 8789, 2.873785348621597], ['book', 82.98590183258057, 722, 299, 6231, 2.9773984226348764], ['book', 80.02141714096071, 722, 312, 5880, 2.9455696255379293], ['cup', 83.58450531959535, 1199, 740, 7875, 2.9837487074961855], ['mouse', 99.62361454963684, 1271, 912, 3840, 3.1404314640041973]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1162]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1662]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 912, screen_y= 603, value= None), value= tvmonitor) [0.5125]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1199, screen_y= 740, value= None), value= cup) [1.0243]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1271, screen_y= 912, value= None), value= mouse) [1.4524]', '_visuallocation(color= None, screen_x= 1022, screen_y= 940, value= None) [1.5024]']","[[840, 525, 0.1162], [840, 525, 0.1662], [912, 603, 0.5125], [1199, 740, 1.0243], [1271, 912, 1.4524], [1022, 940, 1.5024]]"
