name,object_info,actr_data,actr_data_processed
000000000194.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['pizza', 98.7065315246582, 847, 581, 1371756, 3.1299706152791713]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1147]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1647]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 847, screen_y= 581, value= None), value= pizza) [0.4801]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 847, screen_y= 581, value= None), value= pizza) [0.4801]']","[[840, 525, 0.1147], [840, 525, 0.1647], [847, 581, 0.4801], [847, 581, 0.4801]]"
000000003192.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['fork', 72.76092767715456, 1182, 227, 106720, 2.8619057331280384], ['diningtable', 97.2269058227539, 806, 497, 1281111, 3.1163644053441213], ['pizza', 96.27387523651123, 794, 574, 1158664, 3.1074864997359253], ['cup', 94.74495053291321, 221, 184, 62807, 3.093058112910752]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1187]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1687]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 806, screen_y= 497, value= None), value= diningtable) [0.4687]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 794, screen_y= 574, value= None), value= pizza) [0.8322]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1182, screen_y= 227, value= None), value= fork) [1.3043]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 221, screen_y= 184, value= None), value= cup) [1.8556]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 221, screen_y= 184, value= None), value= cup) [1.8556]']","[[840, 525, 0.1187], [840, 525, 0.1687], [806, 497, 0.4687], [794, 574, 0.8322], [1182, 227, 1.3043], [221, 184, 1.8556], [221, 184, 1.8556]]"
000000007944.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['cup', 93.78939867019652, 1438, 263, 127098, 3.0839250311347612], ['diningtable', 73.17384481430055, 843, 576, 1280344, 2.8666171131133096], ['orange', 84.97552275657655, 683, 568, 80370, 2.995593646917771], ['knife', 97.49898314476013, 1200, 653, 81614, 3.118882545383102], ['knife', 96.54133319854736, 1322, 703, 101525, 3.1099869902010475], ['spoon', 72.99061417579652, 1325, 728, 101924, 2.8645279753245747]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.107]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.157]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 843, screen_y= 576, value= None), value= diningtable) [0.3942]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 683, screen_y= 568, value= None), value= orange) [0.7661]', '_visuallocation(color= None, screen_x= 1200, screen_y= 653, value= None) [0.8161]']","[[840, 525, 0.107], [840, 525, 0.157], [843, 576, 0.3942], [683, 568, 0.7661], [1200, 653, 0.8161]]"
000000020418.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['knife', 75.4414916038513, 1341, 435, 94317, 2.8922667452368067], ['fork', 92.46453046798706, 276, 350, 84384, 3.0711159779290824]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1088]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1588]', '_visuallocation(color= None, screen_x= 1341, screen_y= 435, value= None) [0.2088]']","[[840, 525, 0.1088], [840, 525, 0.1588], [1341, 435, 0.2088]]"
000000023840.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['banana', 72.94547557830809, 1240, 760, 572272, 2.864012946001197], ['knife', 80.51226139068605, 1506, 454, 100497, 2.948170760153494]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1237]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1737]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1240, screen_y= 760, value= None), value= banana) [0.6464]', '_visuallocation(color= None, screen_x= 1506, screen_y= 454, value= None) [0.6964]']","[[840, 525, 0.1237], [840, 525, 0.1737], [1240, 760, 0.6464], [1506, 454, 0.6964]]"
000000024231.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 93.78297328948976, 836, 584, 1289457, 3.0838633182806015], ['fork', 99.39253926277159, 304, 510, 78771, 3.1362055565333566], ['knife', 78.86149883270264, 1434, 549, 86112, 2.930200173951868], ['knife', 98.85528087615968, 1312, 579, 94760, 3.1313265128519423], ['spoon', 84.7833812236786, 1438, 647, 88908, 2.993588156227238]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1142]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1642]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 836, screen_y= 584, value= None), value= diningtable) [0.4509]', '_visuallocation(color= None, screen_x= 1312, screen_y= 579, value= None) [0.5009]']","[[840, 525, 0.1142], [840, 525, 0.1642], [836, 584, 0.4509], [1312, 579, 0.5009]]"
000000031286.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 93.8614547252655, 818, 568, 1289484, 3.084616823043152], ['cup', 79.4413387775421, 296, 55, 23180, 2.9365382059208716], ['knife', 97.27615118026732, 1452, 578, 92184, 3.1168207228004503], ['broccoli', 98.358553647995, 1130, 645, 54227, 3.12679014230416]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.114]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.164]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 818, screen_y= 568, value= None), value= diningtable) [0.4093]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1130, screen_y= 645, value= None), value= broccoli) [0.8654]', '_visuallocation(color= None, screen_x= 1452, screen_y= 578, value= None) [0.9154]']","[[840, 525, 0.114], [840, 525, 0.164], [818, 568, 0.4093], [1130, 645, 0.8654], [1452, 578, 0.9154]]"
000000035407.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['cup', 96.80731892585754, 355, 247, 215650, 3.112466756189602], ['sandwich', 99.76351261138916, 953, 482, 506215, 3.139557815539882], ['diningtable', 95.8003580570221, 845, 564, 1132728, 3.10304235462717], ['knife', 69.13830041885376, 1495, 370, 23375, 2.8200604810728]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1113]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1613]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 845, screen_y= 564, value= None), value= diningtable) [0.3599]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 953, screen_y= 482, value= None), value= sandwich) [0.7655]', '_visuallocation(color= None, screen_x= 1495, screen_y= 370, value= None) [0.8155]']","[[840, 525, 0.1113], [840, 525, 0.1613], [845, 564, 0.3599], [953, 482, 0.7655], [1495, 370, 0.8155]]"
000000043375.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['knife', 96.14249467849731, 658, 283, 179220, 3.106255642069362], ['apple', 99.13737773895264, 1042, 302, 77805, 3.1338919027905994]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1138]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1638]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1042, screen_y= 302, value= None), value= apple) [0.5791]', '_visuallocation(color= None, screen_x= 658, screen_y= 283, value= None) [0.6291]']","[[840, 525, 0.1138], [840, 525, 0.1638], [1042, 302, 0.5791], [658, 283, 0.6291]]"
000000043388.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['carrot', 75.11139512062074, 737, 468, 287196, 2.888557008174335], ['carrot', 74.77380633354188, 986, 333, 34196, 2.884754500389784], ['knife', 90.55157899856569, 1566, 626, 126531, 3.0523244064879327]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1155]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1655]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 737, screen_y= 468, value= None), value= carrot) [0.5538]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 986, screen_y= 333, value= None), value= carrot) [0.9709]', '_visuallocation(color= None, screen_x= 1566, screen_y= 626, value= None) [1.0209]']","[[840, 525, 0.1155], [840, 525, 0.1655], [737, 468, 0.5538], [986, 333, 0.9709], [1566, 626, 1.0209]]"
