name,object_info,actr_data,actr_data_processed
000000001347.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.40209984779358, 1399, 706, 279278, 3.135497282100233], ['laptop', 99.84205961227416, 458, 703, 134815, 3.1394710075118293], ['keyboard', 99.18872117996216, 1031, 888, 85652, 3.1335631341121033], ['cup', 73.9304780960083, 796, 737, 8064, 2.8744208524615855], ['mouse', 98.9477038383484, 689, 812, 5796, 3.1313368317991594], ['mouse', 99.45064187049866, 1224, 952, 9516, 3.1359361569552444]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1176]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1676]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 796, screen_y= 737, value= None), value= cup) [0.5759]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 689, screen_y= 812, value= None), value= mouse) [0.8614]', '_visuallocation(color= None, screen_x= 458, screen_y= 703, value= None) [0.9114]']","[[840, 525, 0.1176], [840, 525, 0.1676], [796, 737, 0.5759], [689, 812, 0.8614], [458, 703, 0.9114]]"
000000004463.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bed', 99.98021125793457, 1021, 616, 902841, 3.1407148358998156], ['laptop', 98.53201508522034, 301, 759, 69048, 3.127582214553369]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1232]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1732]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1021, screen_y= 616, value= None), value= bed) [0.524]', '_visuallocation(color= None, screen_x= 301, screen_y= 759, value= None) [0.574]']","[[840, 525, 0.1232], [840, 525, 0.1732], [1021, 616, 0.524], [301, 759, 0.574]]"
000000004488.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 98.43200445175172, 605, 284, 313608, 3.126667630676649], ['keyboard', 99.75734949111937, 920, 896, 463008, 3.138707395833685], ['laptop', 99.1613507270813, 1435, 322, 64120, 3.133314711283787], ['cell phone', 64.46148157119751, 753, 634, 21462, 2.763998394936611], ['mouse', 99.69615936279295, 1502, 737, 15840, 3.13815535856651]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1082]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1582]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 753, screen_y= 634, value= None), value= cell phone) [0.5193]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 920, screen_y= 896, value= None), value= keyboard) [1.0084]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1502, screen_y= 737, value= None), value= mouse) [1.5834]', '_visuallocation(color= None, screen_x= 1435, screen_y= 322, value= None) [1.6334]']","[[840, 525, 0.1082], [840, 525, 0.1582], [753, 634, 0.5193], [920, 896, 1.0084], [1502, 737, 1.5834], [1435, 322, 1.6334]]"
000000004694.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['book', 72.355055809021, 635, 502, 936802, 2.8564679482232735], ['book', 60.31585931777954, 390, 103, 15372, 2.7139998124451874], ['tvmonitor', 96.01931571960449, 1302, 244, 74166, 3.1043052478637123], ['book', 62.20468878746033, 1447, 453, 13912, 2.736886355694684], ['laptop', 99.0410089492798, 1297, 601, 49842, 3.1322215715516237], ['book', 68.9342737197876, 519, 715, 12408, 2.816882648233627], ['book', 86.41903400421144, 451, 753, 14136, 3.009759239763622], ['book', 61.687493324279785, 327, 834, 15812, 2.7306364971314796], ['book', 85.43899059295654, 666, 657, 4964, 2.999510008830519], ['book', 66.03075861930847, 689, 651, 4500, 2.782466788229229], ['book', 63.69233727455139, 595, 678, 4970, 2.7546766029925034], ['book', 75.44339895248412, 629, 673, 5640, 2.8914488181016864]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1318]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1818]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 689, screen_y= 651, value= None), value= book) [0.5681]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 666, screen_y= 657, value= None), value= book) [0.7444]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 629, screen_y= 673, value= None), value= book) [1.0311]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 595, screen_y= 678, value= None), value= book) [1.3557]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 519, screen_y= 715, value= None), value= book) [1.6437]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 451, screen_y= 753, value= None), value= book) [1.9775]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 327, screen_y= 834, value= None), value= book) [2.3543]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 635, screen_y= 502, value= None), value= book) [2.9932]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 390, screen_y= 103, value= None), value= book) [3.4239]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1302, screen_y= 244, value= None), value= tvmonitor) [3.8993]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1447, screen_y= 453, value= None), value= book) [4.3283]', '_visuallocation(color= None, screen_x= 1297, screen_y= 601, value= None) [4.3783]']","[[840, 525, 0.1318], [840, 525, 0.1818], [689, 651, 0.5681], [666, 657, 0.7444], [629, 673, 1.0311], [595, 678, 1.3557], [519, 715, 1.6437], [451, 753, 1.9775], [327, 834, 2.3543], [635, 502, 2.9932], [390, 103, 3.4239], [1302, 244, 3.8993], [1447, 453, 4.3283], [1297, 601, 4.3783]]"
000000024610.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sofa', 67.02248454093933, 1372, 958, 154242, 2.7944255010290795], ['laptop', 92.73754954338074, 364, 657, 44200, 3.072974563617148], ['chair', 99.23899173736572, 451, 897, 126153, 3.1340192122360246]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.114]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.164]', '_visuallocation(color= None, screen_x= 364, screen_y= 657, value= None) [0.214]']","[[840, 525, 0.114], [840, 525, 0.164], [364, 657, 0.214]]"
000000024721.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.34273958206177, 623, 589, 265923, 3.1349596701619213], ['laptop', 99.967223405838, 1344, 709, 78690, 3.140597982289534], ['tvmonitor', 99.41685795783995, 981, 512, 87954, 3.13563088863866], ['keyboard', 94.43514347076416, 953, 884, 45645, 3.089311874375857], ['cell phone', 98.33205342292786, 733, 969, 15840, 3.125752602836381], ['mouse', 92.18738675117493, 1029, 742, 4182, 3.067261972975066]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1055]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1555]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 981, screen_y= 512, value= None), value= tvmonitor) [0.5304]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1029, screen_y= 742, value= None), value= mouse) [0.9316]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 953, screen_y= 884, value= None), value= keyboard) [1.3107]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 733, screen_y= 969, value= None), value= cell phone) [1.8068]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 623, screen_y= 589, value= None), value= tvmonitor) [2.2566]', '_visuallocation(color= None, screen_x= 1344, screen_y= 709, value= None) [2.3066]']","[[840, 525, 0.1055], [840, 525, 0.1555], [981, 512, 0.5304], [1029, 742, 0.9316], [953, 884, 1.3107], [733, 969, 1.8068], [623, 589, 2.2566], [1344, 709, 2.3066]]"
000000026564.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.91258382797241, 895, 462, 126060, 3.1401061986815337], ['laptop', 99.81968402862549, 1339, 707, 103341, 3.1392693740176725], ['book', 64.70361351966858, 317, 597, 16940, 2.7668911331244734], ['book', 81.29192590713502, 391, 598, 15642, 2.955784118574332], ['book', 78.27686071395873, 459, 593, 15549, 2.922986973579352], ['book', 96.347975730896, 502, 591, 22161, 3.107385136031356], ['book', 79.34567332267761, 277, 615, 13266, 2.9346995748228517], ['keyboard', 93.70392560958862, 857, 803, 45760, 3.082308935645866], ['book', 69.92895007133485, 337, 613, 5800, 2.828438453638833], ['book', 63.64028453826904, 435, 610, 5841, 2.7541297154397713], ['mouse', 93.12874674797058, 1125, 761, 3510, 3.075704706368005], ['mouse', 96.84152007102966, 1181, 896, 10788, 3.1119901269754893]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1065]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1565]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 895, screen_y= 462, value= None), value= tvmonitor) [0.464]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 857, screen_y= 803, value= None), value= keyboard) [0.9396]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1125, screen_y= 761, value= None), value= mouse) [1.4093]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1181, screen_y= 896, value= None), value= mouse) [1.7968]', '_visuallocation(color= None, screen_x= 1339, screen_y= 707, value= None) [1.8468]']","[[840, 525, 0.1065], [840, 525, 0.1565], [895, 462, 0.464], [857, 803, 0.9396], [1125, 761, 1.4093], [1181, 896, 1.7968], [1339, 707, 1.8468]]"
000000027620.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['chair', 99.94139075279236, 1156, 774, 503624, 3.1403655123702885], ['laptop', 99.20002222061156, 816, 279, 91688, 3.1336656842698765], ['bottle', 72.72367477416992, 600, 357, 11232, 2.860685141575831], ['keyboard', 99.753737449646, 848, 471, 32032, 3.1386748195946166]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1104]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1604]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 848, screen_y= 471, value= None), value= keyboard) [0.4642]', '_visuallocation(color= None, screen_x= 816, screen_y= 279, value= None) [0.5142]']","[[840, 525, 0.1104], [840, 525, 0.1604], [848, 471, 0.4642], [816, 279, 0.5142]]"
000000034831.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sofa', 71.29733562469481, 363, 869, 191483, 2.8443134368867384], ['chair', 63.0657434463501, 923, 723, 113230, 2.7472619143591928], ['laptop', 96.73418402671814, 542, 922, 58912, 3.110990778249376]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1115]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1615]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 923, screen_y= 723, value= None), value= chair) [0.4855]', '_visuallocation(color= None, screen_x= 542, screen_y= 922, value= None) [0.5355]']","[[840, 525, 0.1115], [840, 525, 0.1615], [923, 723, 0.4855], [542, 922, 0.5355]]"
000000040988.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['laptop', 99.02172088623048, 454, 728, 68708, 3.132046232697269], ['chair', 64.42221999168396, 393, 973, 103730, 2.7635290349787205], ['mouse', 73.18696379661559, 912, 875, 11564, 2.865971691548348]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1143]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1643]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 912, screen_y= 875, value= None), value= mouse) [0.6509]', '_visuallocation(color= None, screen_x= 454, screen_y= 728, value= None) [0.7009]']","[[840, 525, 0.1143], [840, 525, 0.1643], [912, 875, 0.6509], [454, 728, 0.7009]]"
