name,object_info,actr_data,actr_data_processed
000000012326.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['oven', 98.52455258369446, 719, 862, 289562, 3.1307665267225344], ['microwave', 98.92475605010986, 1240, 407, 26544, 3.1344167340729054], ['bowl', 61.15390658378601, 890, 683, 9660, 2.727427114544333], ['bowl', 70.36451697349547, 1007, 698, 4200, 2.8364338892889296]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1178]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1678]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 890, screen_y= 683, value= None), value= bowl) [0.5448]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1007, screen_y= 698, value= None), value= bowl) [0.8568]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 719, screen_y= 862, value= None), value= oven) [1.3671]', '_visuallocation(color= None, screen_x= 1240, screen_y= 407, value= None) [1.4171]']","[[840, 525, 0.1178], [840, 525, 0.1678], [890, 683, 0.5448], [1007, 698, 0.8568], [719, 862, 1.3671], [1240, 407, 1.4171]]"
000000021801.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 99.12497401237488, 571, 235, 104864, 3.136236951617504], ['refrigerator', 99.98716115951538, 1248, 591, 510777, 3.144029879933686], ['oven', 99.61575269699095, 585, 719, 196650, 3.1406819171974596], ['sink', 92.39513278007507, 633, 1040, 127097, 3.0728980558368666], ['knife', 66.32393598556519, 837, 439, 924, 2.535810801930074], ['knife', 88.76561522483826, 862, 439, 1036, 2.8449754876318325], ['knife', 72.79384136199951, 880, 443, 1880, 2.8399392775317374], ['knife', 70.76555490493773, 858, 458, 1368, 2.7580466937690327], ['knife', 89.25926685333252, 852, 502, 1470, 2.977009718141968]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1181]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1681]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 852, screen_y= 502, value= None), value= knife) [0.4249]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 858, screen_y= 458, value= None), value= knife) [0.6976]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 862, screen_y= 439, value= None), value= knife) [0.9384]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 880, screen_y= 443, value= None), value= knife) [1.1486]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 837, screen_y= 439, value= None), value= knife) [1.2912]', '_visuallocation(color= None, screen_x= 571, screen_y= 235, value= None) [1.3412]']","[[840, 525, 0.1181], [840, 525, 0.1681], [852, 502, 0.4249], [858, 458, 0.6976], [862, 439, 0.9384], [880, 443, 1.1486], [837, 439, 1.2912], [571, 235, 1.3412]]"
000000022158.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 93.35480332374573, 1447, 483, 54050, 3.0821996273690786], ['oven', 92.97673106193542, 1104, 527, 60000, 3.0785457589432337], ['refrigerator', 98.49337935447693, 889, 602, 139278, 3.130481534741525], ['sink', 87.69732713699341, 630, 579, 9440, 3.0261009889009918]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1206]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1706]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 889, screen_y= 602, value= None), value= refrigerator) [0.441]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1104, screen_y= 527, value= None), value= oven) [0.8181]', '_visuallocation(color= None, screen_x= 1447, screen_y= 483, value= None) [0.8681]']","[[840, 525, 0.1206], [840, 525, 0.1706], [889, 602, 0.441], [1104, 527, 0.8181], [1447, 483, 0.8681]]"
000000022636.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 93.03320646286012, 187, 411, 39559, 3.0790924391430523], ['refrigerator', 66.84790253639221, 1434, 498, 119232, 2.795616017381871], ['bottle', 68.68516206741333, 1016, 428, 3325, 2.8157688640282275], ['bottle', 88.52249383926392, 1156, 425, 3952, 3.0339573820764825], ['bottle', 84.81132984161377, 1208, 425, 3952, 2.995823869820289], ['bottle', 68.12050938606261, 966, 433, 3081, 2.808369325650484], ['bottle', 70.37261128425598, 505, 600, 3549, 2.8358841330088502], ['bottle', 80.74918389320374, 537, 597, 3267, 2.9515815599108346], ['bottle', 92.85821318626404, 567, 599, 2937, 3.0744936880273963], ['bottle', 87.67662644386292, 603, 600, 2759, 3.0218417843447414], ['bottle', 90.25099277496338, 722, 595, 3366, 3.0504438562551095], ['bottle', 77.36005783081055, 765, 594, 3193, 2.914288337418021]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1291]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1791]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 765, screen_y= 594, value= None), value= bottle) [0.4211]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 722, screen_y= 595, value= None), value= bottle) [0.7575]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 603, screen_y= 600, value= None), value= bottle) [1.2063]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 567, screen_y= 599, value= None), value= bottle) [1.5264]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 537, screen_y= 597, value= None), value= bottle) [1.7941]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 505, screen_y= 600, value= None), value= bottle) [1.9711]', '_visuallocation(color= None, screen_x= 187, screen_y= 411, value= None) [2.0211]']","[[840, 525, 0.1291], [840, 525, 0.1791], [765, 594, 0.4211], [722, 595, 0.7575], [603, 600, 1.2063], [567, 599, 1.5264], [537, 597, 1.7941], [505, 600, 1.9711], [187, 411, 2.0211]]"
000000029377.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.05285835266113, 1253, 780, 245265, 3.1355817923584652], ['microwave', 99.84270930290222, 1248, 382, 49808, 3.142729382963099], ['oven', 96.79745435714722, 375, 948, 108405, 3.1148325963591077], ['cup', 64.8465096950531, 512, 794, 2100, 2.756559356317132]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1118]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1618]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 512, screen_y= 794, value= None), value= cup) [0.5955]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 375, screen_y= 948, value= None), value= oven) [1.0899]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1253, screen_y= 780, value= None), value= refrigerator) [1.6015]', '_visuallocation(color= None, screen_x= 1248, screen_y= 382, value= None) [1.6515]']","[[840, 525, 0.1118], [840, 525, 0.1618], [512, 794, 0.5955], [375, 948, 1.0899], [1253, 780, 1.6015], [1248, 382, 1.6515]]"
000000033297.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.70167875289916, 1487, 709, 306009, 3.1414576911324446], ['diningtable', 99.24085140228271, 459, 998, 146250, 3.1372886008144287], ['microwave', 84.81527566909791, 1189, 638, 16614, 2.9963789672833387], ['chair', 82.1766197681427, 354, 895, 40606, 2.968514726253718], ['chair', 95.74006199836731, 722, 968, 23856, 3.1049325603987272], ['sink', 64.50436115264893, 1016, 639, 6392, 2.7677465627665887], ['bowl', 80.57639002799988, 467, 924, 4095, 2.950911764026839], ['orange', 65.5464231967926, 380, 978, 2052, 2.7632272849975887]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1088]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1588]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1016, screen_y= 639, value= None), value= sink) [0.5546]', '_visuallocation(color= None, screen_x= 1189, screen_y= 638, value= None) [0.6046]']","[[840, 525, 0.1088], [840, 525, 0.1588], [1016, 639, 0.5546], [1189, 638, 0.6046]]"
000000034114.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 98.90999794006348, 1379, 934, 114912, 3.134282408449406]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1233]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1733]', '_visuallocation(color= None, screen_x= 1379, screen_y= 934, value= None) [0.2233]']","[[840, 525, 0.1233], [840, 525, 0.1733], [1379, 934, 0.2233]]"
000000036091.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 99.8360514640808, 1253, 293, 21255, 3.14266939264862], ['refrigerator', 71.43128514289856, 499, 460, 107932, 2.8491095318448902], ['oven', 99.73565936088562, 1228, 526, 63438, 3.1417642793127802], ['chair', 66.90176725387572, 539, 663, 66696, 2.79625241494582], ['bottle', 74.57231879234314, 862, 377, 1210, 2.7611476734761835], ['knife', 90.7353162765503, 1602, 389, 360, 2.2871417274791614], ['knife', 60.21603345870972, 1603, 400, 204, 1.8209850539483459], ['bowl', 69.01538372039795, 1483, 421, 1475, 2.756987748990551], ['chair', 65.39602279663086, 772, 451, 6138, 2.778374553783645], ['chair', 78.85673642158507, 653, 470, 8732, 2.9326045512498586]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1129]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1629]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 772, screen_y= 451, value= None), value= chair) [0.5493]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 862, screen_y= 377, value= None), value= bottle) [0.8764]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 653, screen_y= 470, value= None), value= chair) [1.2281]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 499, screen_y= 460, value= None), value= refrigerator) [1.5605]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 539, screen_y= 663, value= None), value= chair) [2.0304]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1228, screen_y= 526, value= None), value= oven) [2.585]', '_visuallocation(color= None, screen_x= 1253, screen_y= 293, value= None) [2.635]']","[[840, 525, 0.1129], [840, 525, 0.1629], [772, 451, 0.5493], [862, 377, 0.8764], [653, 470, 1.2281], [499, 460, 1.5605], [539, 663, 2.0304], [1228, 526, 2.585], [1253, 293, 2.635]]"
000000036567.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.94865655899048, 530, 665, 253424, 3.1436834262043627], ['microwave', 97.76800870895386, 1142, 335, 47257, 3.123822955491218], ['oven', 99.66673851013184, 1118, 719, 114137, 3.1411423253100135], ['sink', 68.71617436408997, 1416, 648, 9180, 2.81758419772373]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1133]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1633]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1118, screen_y= 719, value= None), value= oven) [0.5987]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1416, screen_y= 648, value= None), value= sink) [0.962]', '_visuallocation(color= None, screen_x= 1142, screen_y= 335, value= None) [1.012]']","[[840, 525, 0.1133], [840, 525, 0.1633], [1118, 719, 0.5987], [1416, 648, 0.962], [1142, 335, 1.012]]"
000000039698.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 95.00631093978882, 767, 267, 24750, 3.097998404026261], ['pottedplant', 92.21940040588379, 1173, 419, 21894, 3.0711851885889607], ['oven', 99.17749166488649, 775, 629, 130508, 3.136713742103907], ['sink', 97.21125960350037, 1205, 540, 10848, 3.1186769238835534]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1152]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1652]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 775, screen_y= 629, value= None), value= oven) [0.4827]', '_visuallocation(color= None, screen_x= 767, screen_y= 267, value= None) [0.5327]']","[[840, 525, 0.1152], [840, 525, 0.1652], [775, 629, 0.4827], [767, 267, 0.5327]]"
000000045195.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 91.1063313484192, 385, 869, 210639, 3.0602674957094758], ['microwave', 98.45860600471495, 752, 369, 18928, 3.1301635162599255], ['sink', 95.39550542831421, 1238, 649, 24211, 3.1016829465929296], ['chair', 72.42687940597534, 578, 798, 52440, 2.86054294891311], ['refrigerator', 87.62774467468262, 948, 817, 58830, 3.0253928666570973], ['chair', 95.70197463035583, 509, 831, 95053, 3.104573917536264], ['chair', 97.80946969985962, 210, 903, 96480, 3.124204947752159]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1118]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1618]', '_visuallocation(color= None, screen_x= 752, screen_y= 369, value= None) [0.2118]']","[[840, 525, 0.1118], [840, 525, 0.1618], [752, 369, 0.2118]]"
000000046071.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['chair', 98.6122190952301, 324, 709, 206448, 3.1315674769118798], ['tvmonitor', 99.93532299995422, 805, 286, 45030, 3.1435634202443117], ['microwave', 98.54188561439514, 499, 441, 29125, 3.130924947258623], ['chair', 74.91490840911865, 1489, 954, 58500, 2.888802568374259], ['bottle', 69.14852857589722, 437, 314, 4998, 2.8225302040899733], ['vase', 68.29231977462769, 437, 314, 4998, 2.8125126051700757]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1259]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1759]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 805, screen_y= 286, value= None), value= tvmonitor) [0.6224]', '_visuallocation(color= None, screen_x= 499, screen_y= 441, value= None) [0.6724]']","[[840, 525, 0.1259], [840, 525, 0.1759], [805, 286, 0.6224], [499, 441, 0.6724]]"
000000048905.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.91026520729065, 1281, 697, 349218, 3.1433378450056457], ['microwave', 99.86653327941895, 958, 356, 31320, 3.1429440122624484], ['oven', 96.14545702934264, 905, 641, 54649, 3.108741096723812], ['sink', 82.0018708705902, 689, 730, 41114, 2.9666479006385833], ['knife', 65.54173827171326, 316, 508, 1404, 2.703851371700524], ['knife', 84.46649312973021, 341, 516, 1392, 2.914158656017456]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.125]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.175]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 905, screen_y= 641, value= None), value= oven) [0.5604]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 689, screen_y= 730, value= None), value= sink) [0.972]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 341, screen_y= 516, value= None), value= knife) [1.4964]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 316, screen_y= 508, value= None), value= knife) [1.6906]', '_visuallocation(color= None, screen_x= 958, screen_y= 356, value= None) [1.7406]']","[[840, 525, 0.125], [840, 525, 0.175], [905, 641, 0.5604], [689, 730, 0.972], [341, 516, 1.4964], [316, 508, 1.6906], [958, 356, 1.7406]]"
000000048939.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.68311190605164, 362, 663, 196603, 3.141290124399335], ['tvmonitor', 99.68329668045044, 1258, 289, 58788, 3.1412917921660313], ['microwave', 94.3088948726654, 712, 388, 23200, 3.091359005122963], ['chair', 95.90865969657898, 1046, 689, 39732, 3.1065184266598838], ['chair', 98.92944097518921, 1167, 725, 54670, 3.1344593709006765], ['chair', 99.75357055664062, 1442, 740, 77688, 3.1419258360151074], ['sink', 82.52022266387941, 571, 596, 3850, 2.9715727029435843]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1134]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1634]', '_visuallocation(color= None, screen_x= 712, screen_y= 388, value= None) [0.2134]']","[[840, 525, 0.1134], [840, 525, 0.1634], [712, 388, 0.2134]]"
