name,object_info,actr_data,actr_data_processed
000000009069.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['keyboard', 63.45517635345459, 905, 495, 551820, 2.7813625756824454], ['mouse', 92.10329055786131, 402, 864, 223110, 3.096219855783321]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1092]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1592]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 905, screen_y= 495, value= None), value= keyboard) [0.4639]', '_visuallocation(color= None, screen_x= 402, screen_y= 864, value= None) [0.5139]']","[[840, 525, 0.1092], [840, 525, 0.1592], [905, 495, 0.4639], [402, 864, 0.5139]]"
000000011528.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['pottedplant', 97.33072519302368, 1120, 386, 389994, 3.1459518368751604], ['tvmonitor', 98.94087910652159, 557, 396, 535686, 3.1607314747291646], ['keyboard', 97.25287556648254, 882, 968, 218988, 3.1452307749673944], ['mouse', 99.95365738868713, 1414, 870, 26910, 3.169896446766491]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1248]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1748]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 557, screen_y= 396, value= None), value= tvmonitor) [0.6127]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1120, screen_y= 386, value= None), value= pottedplant) [1.0655]', '_visuallocation(color= None, screen_x= 1414, screen_y= 870, value= None) [1.1155]']","[[840, 525, 0.1248], [840, 525, 0.1748], [557, 396, 0.6127], [1120, 386, 1.0655], [1414, 870, 1.1155]]"
000000012463.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['keyboard', 97.21512794494629, 396, 878, 286160, 3.1448809327680585]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1161]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1661]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 396, screen_y= 878, value= None), value= keyboard) [0.6286]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 396, screen_y= 878, value= None), value= keyboard) [0.6286]']","[[840, 525, 0.1161], [840, 525, 0.1661], [396, 878, 0.6286], [396, 878, 0.6286]]"
000000013273.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 98.06485176086426, 917, 406, 545478, 3.1527221357186694], ['laptop', 99.94398951530457, 376, 730, 222360, 3.169809439613158], ['keyboard', 99.63974356651306, 964, 973, 188658, 3.1670666059500263], ['cell phone', 98.47657680511476, 1199, 732, 13446, 3.1564958861928902], ['mouse', 99.9954104423523, 1529, 962, 30806, 3.1702721017314808]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1164]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1664]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 917, screen_y= 406, value= None), value= tvmonitor) [0.5889]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1199, screen_y= 732, value= None), value= cell phone) [1.0032]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 964, screen_y= 973, value= None), value= keyboard) [1.4802]', '_visuallocation(color= None, screen_x= 1529, screen_y= 962, value= None) [1.5302]']","[[840, 525, 0.1164], [840, 525, 0.1664], [917, 406, 0.5889], [1199, 732, 1.0032], [964, 973, 1.4802], [1529, 962, 1.5302]]"
000000017154.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['mouse', 99.0750014781952, 1027, 297, 183425, 3.16195103006031]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1125]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1625]', '_visuallocation(color= None, screen_x= 1027, screen_y= 297, value= None) [0.2125]']","[[840, 525, 0.1125], [840, 525, 0.1625], [1027, 297, 0.2125]]"
000000020481.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['laptop', 99.22125339508057, 840, 475, 553664, 3.1632788480260507], ['chair', 97.69254326820374, 1527, 285, 100056, 3.149295251535433], ['cup', 67.57873296737671, 1554, 565, 24150, 2.830403586999865], ['mouse', 97.704416513443, 1308, 803, 31688, 3.1494047488577]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1112]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1612]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 475, value= None), value= laptop) [0.5214]', '_visuallocation(color= None, screen_x= 1308, screen_y= 803, value= None) [0.5714]']","[[840, 525, 0.1112], [840, 525, 0.1612], [840, 475, 0.5214], [1308, 803, 0.5714]]"
000000029891.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.41823482513428, 1106, 586, 263396, 3.165063890240443], ['laptop', 99.75277781486513, 684, 796, 381095, 3.1680867024288606], ['mouse', 99.60780739784241, 1438, 976, 25375, 3.166778163135818], ['cup', 97.99596667289734, 265, 1003, 33231, 3.152089119095614]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1133]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1633]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1106, screen_y= 586, value= None), value= tvmonitor) [0.5457]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 684, screen_y= 796, value= None), value= laptop) [1.1298]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 265, screen_y= 1003, value= None), value= cup) [1.6102]', '_visuallocation(color= None, screen_x= 1438, screen_y= 976, value= None) [1.6602]']","[[840, 525, 0.1133], [840, 525, 0.1633], [1106, 586, 0.5457], [684, 796, 1.1298], [265, 1003, 1.6102], [1438, 976, 1.6602]]"
000000030944.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['cell phone', 80.05573749542236, 461, 396, 169059, 2.971849327642559], ['mouse', 88.77140283584595, 836, 899, 82836, 3.063151580962234]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1174]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1674]', '_visuallocation(color= None, screen_x= 836, screen_y= 899, value= None) [0.2174]']","[[840, 525, 0.1174], [840, 525, 0.1674], [836, 899, 0.2174]]"
000000043227.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.41089153289795, 434, 302, 290904, 3.164997414434286], ['keyboard', 99.89438652992249, 659, 888, 456412, 3.169362885917539], ['mouse', 99.97019171714784, 1285, 747, 48764, 3.1700452278923628]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1067]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1567]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 659, screen_y= 888, value= None), value= keyboard) [0.6275]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 434, screen_y= 302, value= None), value= tvmonitor) [1.1518]', '_visuallocation(color= None, screen_x= 1285, screen_y= 747, value= None) [1.2018]']","[[840, 525, 0.1067], [840, 525, 0.1567], [659, 888, 0.6275], [434, 302, 1.1518], [1285, 747, 1.2018]]"
000000045406.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['keyboard', 99.6820867061615, 806, 538, 134125, 3.1674488870932502], ['mouse', 97.87176847457886, 570, 761, 25498, 3.1509466221285884]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1126]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1626]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 806, screen_y= 538, value= None), value= keyboard) [0.418]', '_visuallocation(color= None, screen_x= 570, screen_y= 761, value= None) [0.468]']","[[840, 525, 0.1126], [840, 525, 0.1626], [806, 538, 0.418], [570, 761, 0.468]]"
000000046731.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['laptop', 71.7274844646454, 753, 421, 693768, 2.87868638307513], ['mouse', 61.06364727020264, 1454, 409, 50460, 2.7525012322871665]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1101]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1601]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 753, screen_y= 421, value= None), value= laptop) [0.5419]', '_visuallocation(color= None, screen_x= 1454, screen_y= 409, value= None) [0.5919]']","[[840, 525, 0.1101], [840, 525, 0.1601], [753, 421, 0.5419], [1454, 409, 0.5919]]"
