name,object_info,actr_data,actr_data_processed
000000003899.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 90.14471769332886, 431, 911, 224519, 3.0482828245863227], ['refrigerator', 99.07566905021669, 960, 677, 126540, 3.1333313967616867], ['oven', 88.1976068019867, 1114, 741, 29210, 3.028725763731943], ['bottle', 95.05152702331543, 202, 761, 14381, 3.0959695387720716], ['bowl', 70.06111145019531, 102, 834, 16284, 2.8308045805923783], ['chair', 98.51175546646118, 740, 884, 92598, 3.128191861691298], ['bottle', 61.76717281341553, 1210, 512, 1404, 2.65611500301391], ['bottle', 63.124877214431756, 1239, 509, 1512, 2.6901820058892136], ['bottle', 69.50492858886719, 1233, 751, 8478, 2.824334276043351]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1165]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1665]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 960, screen_y= 677, value= None), value= refrigerator) [0.4725]', '_visuallocation(color= None, screen_x= 1114, screen_y= 741, value= None) [0.5225]']","[[840, 525, 0.1165], [840, 525, 0.1665], [960, 677, 0.4725], [1114, 741, 0.5225]]"
000000021020.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['oven', 70.85202932357787, 221, 920, 104538, 2.839967868922929], ['microwave', 94.9949026107788, 219, 590, 123312, 3.0954324946961544], ['knife', 76.22560858726501, 474, 484, 825, 2.57903812665187], ['knife', 62.50877976417542, 492, 486, 588, 2.20385579902043], ['bowl', 62.2087299823761, 528, 637, 1241, 2.6232288041236718], ['bowl', 62.32596635818482, 528, 665, 1584, 2.6898741191873534]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1062]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1562]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 528, screen_y= 637, value= None), value= bowl) [0.651]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 528, screen_y= 665, value= None), value= bowl) [0.8972]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 492, screen_y= 486, value= None), value= knife) [1.2511]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 474, screen_y= 484, value= None), value= knife) [1.453]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 219, screen_y= 590, value= None), value= microwave) [1.875]', '_visuallocation(color= None, screen_x= 221, screen_y= 920, value= None) [1.925]']","[[840, 525, 0.1062], [840, 525, 0.1562], [528, 637, 0.651], [528, 665, 0.8972], [492, 486, 1.2511], [474, 484, 1.453], [219, 590, 1.875], [221, 920, 1.925]]"
000000029377.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 99.05287027359007, 1217, 744, 245265, 3.1331242178899563], ['microwave', 99.84270930290222, 1212, 346, 49808, 3.14027170015231], ['oven', 96.79746627807616, 339, 912, 108405, 3.1123750245421724], ['cup', 64.84648585319519, 476, 758, 2100, 2.754101389017375]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1088]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1588]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1212, screen_y= 346, value= None), value= microwave) [0.6345]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1217, screen_y= 744, value= None), value= refrigerator) [1.1475]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 476, screen_y= 758, value= None), value= cup) [1.6447]', '_visuallocation(color= None, screen_x= 339, screen_y= 912, value= None) [1.6947]']","[[840, 525, 0.1088], [840, 525, 0.1588], [1212, 346, 0.6345], [1217, 744, 1.1475], [476, 758, 1.6447], [339, 912, 1.6947]]"
000000036091.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 99.8360514640808, 1217, 257, 21255, 3.140211709837831], ['refrigerator', 71.43144607543945, 463, 424, 107932, 2.846653702798905], ['oven', 99.73565936088562, 1192, 490, 63438, 3.1393065965019913], ['chair', 66.90173745155334, 503, 627, 66696, 2.7937943800766885], ['bottle', 74.57231879234314, 826, 341, 1210, 2.7586899906653946], ['knife', 90.7352864742279, 1566, 353, 360, 2.2846837497172126], ['knife', 60.21601557731629, 1567, 364, 204, 1.8185271536076055], ['bowl', 69.01532411575317, 1447, 385, 1475, 2.754529369936754], ['chair', 65.39604067802429, 736, 415, 6138, 2.7759170837860383], ['chair', 78.85671854019166, 617, 434, 8732, 2.9301466725506202]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1078]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1578]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 736, screen_y= 415, value= None), value= chair) [0.478]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 826, screen_y= 341, value= None), value= bottle) [0.8205]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 617, screen_y= 434, value= None), value= chair) [1.231]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 463, screen_y= 424, value= None), value= refrigerator) [1.563]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 503, screen_y= 627, value= None), value= chair) [1.9149]', '_visuallocation(color= None, screen_x= 1192, screen_y= 490, value= None) [1.9649]']","[[840, 525, 0.1078], [840, 525, 0.1578], [736, 415, 0.478], [826, 341, 0.8205], [617, 434, 1.231], [463, 424, 1.563], [503, 627, 1.9149], [1192, 490, 1.9649]]"
000000038963.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['pottedplant', 77.85277962684631, 472, 400, 431844, 2.9191087531681585], ['bowl', 88.38658332824707, 1160, 554, 12136, 3.030639341166072]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1155]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1655]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1160, screen_y= 554, value= None), value= bowl) [0.5955]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 472, screen_y= 400, value= None), value= pottedplant) [1.1245]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 472, screen_y= 400, value= None), value= pottedplant) [1.1245]']","[[840, 525, 0.1155], [840, 525, 0.1655], [1160, 554, 0.5955], [472, 400, 1.1245], [472, 400, 1.1245]]"
000000044404.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['refrigerator', 97.7557122707367, 1430, 765, 203234, 3.1212519494089084], ['microwave', 91.44638180732728, 1215, 656, 6634, 3.0611452862162785], ['bottle', 79.70924377441406, 726, 660, 1960, 2.918709982995073], ['sink', 62.27089166641235, 828, 705, 12502, 2.7384802296052775]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1119]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1619]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 726, screen_y= 660, value= None), value= bottle) [0.6084]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 828, screen_y= 705, value= None), value= sink) [0.9369]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1215, screen_y= 656, value= None), value= microwave) [1.2484]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1430, screen_y= 765, value= None), value= refrigerator) [1.6435]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1430, screen_y= 765, value= None), value= refrigerator) [1.6435]']","[[840, 525, 0.1119], [840, 525, 0.1619], [726, 660, 0.6084], [828, 705, 0.9369], [1215, 656, 1.2484], [1430, 765, 1.6435], [1430, 765, 1.6435]]"
000000058102.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 91.44702553749084, 1126, 827, 95254, 3.0611641123194366], ['microwave', 99.63204860687256, 731, 393, 17888, 3.1383714161046132], ['oven', 99.45235252380371, 427, 712, 129195, 3.136746974680037], ['clock', 93.42605471611023, 1339, 166, 6750, 3.080418161101867], ['tvmonitor', 67.04623103141786, 1503, 491, 5082, 2.795405297667086]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1119]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1619]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 731, screen_y= 393, value= None), value= microwave) [0.5228]', '_visuallocation(color= None, screen_x= 427, screen_y= 712, value= None) [0.5728]']","[[840, 525, 0.1119], [840, 525, 0.1619], [731, 393, 0.5228], [427, 712, 0.5728]]"
000000078260.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['pottedplant', 94.74982023239136, 860, 550, 174240, 3.0931044299607824], ['diningtable', 74.6423661708832, 715, 809, 422170, 2.8832716643275544], ['chair', 97.78594970703124, 490, 876, 212065, 3.121530589153991], ['oven', 75.8132815361023, 1298, 582, 44800, 2.896435050819234], ['refrigerator', 93.73801946640016, 1541, 663, 141668, 3.0834314455433387], ['chair', 96.23666405677795, 146, 837, 81939, 3.107138053103527], ['microwave', 81.2888205051422, 615, 490, 14880, 2.95654556819027], ['cup', 89.40082788467406, 528, 655, 4410, 3.0405999221983895]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1265]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1765]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 860, screen_y= 550, value= None), value= pottedplant) [0.435]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 615, screen_y= 490, value= None), value= microwave) [0.954]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 528, screen_y= 655, value= None), value= cup) [1.3665]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 490, screen_y= 876, value= None), value= chair) [1.6979]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 715, screen_y= 809, value= None), value= diningtable) [2.1507]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 146, screen_y= 837, value= None), value= chair) [2.696]', '_visuallocation(color= None, screen_x= 1298, screen_y= 582, value= None) [2.746]']","[[840, 525, 0.1265], [840, 525, 0.1765], [860, 550, 0.435], [615, 490, 0.954], [528, 655, 1.3665], [490, 876, 1.6979], [715, 809, 2.1507], [146, 837, 2.696], [1298, 582, 2.746]]"
000000080720.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 63.67988586425781, 411, 772, 171550, 2.755433774610668], ['refrigerator', 84.40592885017395, 1370, 423, 22420, 2.9896388669043397], ['oven', 77.46266722679137, 529, 470, 29756, 2.914797227981704], ['chair', 75.08015036582947, 219, 674, 27939, 2.8882054387382015], ['chair', 81.50702714920044, 569, 713, 64988, 2.9588895992211546], ['chair', 75.24301409721376, 232, 750, 54621, 2.890037183821278], ['chair', 99.77978467941284, 415, 784, 127020, 3.1397045438945606], ['microwave', 98.53505492210388, 729, 402, 12814, 3.1284048149570527]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.117]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.167]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 729, screen_y= 402, value= None), value= microwave) [0.4667]', '_visuallocation(color= None, screen_x= 529, screen_y= 470, value= None) [0.5167]']","[[840, 525, 0.117], [840, 525, 0.167], [729, 402, 0.4667], [529, 470, 0.5167]]"
000000081315.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 99.93264079093932, 436, 278, 101285, 3.1410815946310677], ['refrigerator', 99.75149035453795, 1131, 663, 330913, 3.139449391679422], ['chair', 98.61624240875244, 362, 843, 214856, 3.129146534189776], ['sink', 78.29166054725647, 886, 621, 21024, 2.9239446352474605], ['oven', 74.60855245590209, 729, 878, 114114, 2.88288998608444], ['sink', 83.13674926757812, 885, 611, 9890, 2.9762664407132964]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1149]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1649]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 885, screen_y= 611, value= None), value= sink) [0.5152]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 886, screen_y= 621, value= None), value= sink) [0.7205]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1131, screen_y= 663, value= None), value= refrigerator) [1.1835]', '_visuallocation(color= None, screen_x= 729, screen_y= 878, value= None) [1.2335]']","[[840, 525, 0.1149], [840, 525, 0.1649], [885, 611, 0.5152], [886, 621, 0.7205], [1131, 663, 1.1835], [729, 878, 1.2335]]"
