name,object_info,actr_data,actr_data_processed
000000002024.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 82.05831050872803, 1046, 746, 42578, 2.971107398214768]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1165]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1665]', '_visuallocation(color= None, screen_x= 1046, screen_y= 746, value= None) [0.2165]']","[[840, 525, 0.1165], [840, 525, 0.1665], [1046, 746, 0.2165]]"
000000002388.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 98.6720323562622, 804, 580, 394580, 3.1359697850233452], ['sink', 67.6919460296631, 1333, 248, 38780, 2.809424170323721]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1172]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1672]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 804, screen_y= 580, value= None), value= toilet) [0.4223]', '_visuallocation(color= None, screen_x= 1333, screen_y= 248, value= None) [0.4723]']","[[840, 525, 0.1172], [840, 525, 0.1672], [804, 580, 0.4223], [1333, 248, 0.4723]]"
000000006178.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 93.59657168388368, 604, 714, 24206, 3.0883852304576913], ['toilet', 99.14478063583374, 857, 789, 88352, 3.1402730719152574]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1153]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1653]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 857, screen_y= 789, value= None), value= toilet) [0.5995]', '_visuallocation(color= None, screen_x= 604, screen_y= 714, value= None) [0.6495]']","[[840, 525, 0.1153], [840, 525, 0.1653], [857, 789, 0.5995], [604, 714, 0.6495]]"
000000007214.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 94.68956589698792, 1056, 897, 90402, 3.0988451253200116], ['book', 94.1497802734375, 796, 763, 22684, 3.09369388471097], ['book', 68.16778182983397, 1015, 769, 20176, 2.8150152472817065], ['bottle', 66.70641303062439, 262, 770, 11475, 2.797799722287838], ['sink', 95.58789134025574, 524, 787, 39312, 3.1073550947568824]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1128]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1628]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 796, screen_y= 763, value= None), value= book) [0.601]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1015, screen_y= 769, value= None), value= book) [0.9695]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1056, screen_y= 897, value= None), value= toilet) [1.3516]', '_visuallocation(color= None, screen_x= 524, screen_y= 787, value= None) [1.4016]']","[[840, 525, 0.1128], [840, 525, 0.1628], [796, 763, 0.601], [1015, 769, 0.9695], [1056, 897, 1.3516], [524, 787, 1.4016]]"
000000010800.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 77.08822488784791, 514, 704, 49720, 2.916961414856756], ['toilet', 92.98831224441528, 1019, 856, 27206, 3.082514159889408]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1098]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1598]', '_visuallocation(color= None, screen_x= 514, screen_y= 704, value= None) [0.2098]']","[[840, 525, 0.1098], [840, 525, 0.1598], [514, 704, 0.2098]]"
000000015156.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['bowl', 95.66733241081238, 782, 332, 62930, 3.108103862558854], ['bottle', 94.9685275554657, 386, 292, 51600, 3.1014961891572335], ['bottle', 92.8346872329712, 682, 457, 22440, 3.08102569176001], ['cup', 70.2837109565735, 813, 509, 21360, 2.8397017592933214], ['sink', 88.8026237487793, 1531, 846, 31860, 3.041154547117795]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1199]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1699]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 813, screen_y= 509, value= None), value= cup) [0.3753]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 682, screen_y= 457, value= None), value= bottle) [0.7014]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 782, screen_y= 332, value= None), value= bowl) [1.0369]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 386, screen_y= 292, value= None), value= bottle) [1.4809]', '_visuallocation(color= None, screen_x= 1531, screen_y= 846, value= None) [1.5309]']","[[840, 525, 0.1199], [840, 525, 0.1699], [813, 509, 0.3753], [682, 457, 0.7014], [782, 332, 1.0369], [386, 292, 1.4809], [1531, 846, 1.5309]]"
000000019637.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['chair', 72.5667953491211, 602, 539, 18340, 2.8660003921907795], ['oven', 99.24201965332031, 930, 670, 60979, 3.141155466952788], ['refrigerator', 98.08471798896791, 136, 691, 156232, 3.130592862835296], ['sink', 90.57594537734984, 1207, 734, 33748, 3.058879907771274], ['cup', 75.63390135765077, 426, 287, 1247, 2.7879515610775543], ['knife', 74.5355546474457, 1067, 522, 319, 2.0818079886225576]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1136]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1636]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 930, screen_y= 670, value= None), value= oven) [0.5017]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1067, screen_y= 522, value= None), value= knife) [0.8702]', '_visuallocation(color= None, screen_x= 1207, screen_y= 734, value= None) [0.9202]']","[[840, 525, 0.1136], [840, 525, 0.1636], [930, 670, 0.5017], [1067, 522, 0.8702], [1207, 734, 0.9202]]"
000000024507.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 62.08191514015198, 910, 748, 42465, 2.7425127286730366], ['bottle', 62.8137469291687, 647, 499, 4558, 2.7511351860277644]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1148]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1648]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 647, screen_y= 499, value= None), value= bottle) [0.516]', '_visuallocation(color= None, screen_x= 910, screen_y= 748, value= None) [0.566]']","[[840, 525, 0.1148], [840, 525, 0.1648], [647, 499, 0.516], [910, 748, 0.566]]"
000000027982.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 99.39115643501282, 356, 661, 211420, 3.1425069884672077], ['sink', 76.80417895317079, 1360, 423, 42600, 2.9138060537174373]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1133]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1633]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 356, screen_y= 661, value= None), value= toilet) [0.7011]', '_visuallocation(color= None, screen_x= 1360, screen_y= 423, value= None) [0.7511]']","[[840, 525, 0.1133], [840, 525, 0.1633], [356, 661, 0.7011], [1360, 423, 0.7511]]"
000000028682.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['microwave', 99.84134435653688, 607, 189, 198990, 3.1465733549145107], ['sink', 96.5961217880249, 1037, 742, 74568, 3.116812301421949], ['oven', 94.94104981422424, 567, 887, 156732, 3.101235395543162]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1228]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1728]', '_visuallocation(color= None, screen_x= 1037, screen_y= 742, value= None) [0.2228]']","[[840, 525, 0.1228], [840, 525, 0.1728], [1037, 742, 0.2228]]"
