name,object_info,actr_data,actr_data_processed
000000002284.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 77.76260972023009, 633, 758, 29435, 2.9023864506768495]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1131]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1631]', '_visuallocation(color= None, screen_x= 633, screen_y= 758, value= None) [0.2131]']","[[840, 525, 0.1131], [840, 525, 0.1631], [633, 758, 0.2131]]"
000000005412.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 77.80397534370421, 1108, 487, 30636, 2.9028432075960198]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1155]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1655]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1108, screen_y= 487, value= None), value= sink) [0.598]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1108, screen_y= 487, value= None), value= sink) [0.598]']","[[840, 525, 0.1155], [840, 525, 0.1655], [1108, 487, 0.598], [1108, 487, 0.598]]"
000000010800.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 77.08822488784791, 412, 602, 49720, 2.8949206334658375], ['toilet', 92.98831224441528, 917, 754, 27206, 3.0604733784984894]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1191]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1691]', '_visuallocation(color= None, screen_x= 917, screen_y= 754, value= None) [0.2191]']","[[840, 525, 0.1191], [840, 525, 0.1691], [917, 754, 0.2191]]"
000000010977.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 86.14866733551025, 1090, 572, 22134, 2.9920395544120417]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1378]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1878]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1090, screen_y= 572, value= None), value= sink) [0.6086]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1090, screen_y= 572, value= None), value= sink) [0.6086]']","[[840, 525, 0.1378], [840, 525, 0.1878], [1090, 572, 0.6086], [1090, 572, 0.6086]]"
000000015096.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 98.14379811286926, 1080, 657, 163830, 3.1090945069154454], ['sink', 81.25866651535034, 316, 362, 26190, 2.9404945030101]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1141]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1641]', '_visuallocation(color= None, screen_x= 1080, screen_y= 657, value= None) [0.2141]']","[[840, 525, 0.1141], [840, 525, 0.1641], [1080, 657, 0.2141]]"
000000019329.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 94.1075325012207, 1238, 544, 49776, 3.071248734284795], ['chair', 72.36620783805847, 462, 765, 70455, 2.841663689048817], ['vase', 87.30126023292542, 376, 466, 6162, 3.003854766248728]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1113]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1613]', '_visuallocation(color= None, screen_x= 1238, screen_y= 544, value= None) [0.2113]']","[[840, 525, 0.1113], [840, 525, 0.1613], [1238, 544, 0.2113]]"
000000024845.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 81.15977644920348, 262, 36, 22484, 2.9394306113124604], ['sink', 84.02462005615234, 667, 0, 6519, 2.969895123174662]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1131]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1631]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 667, screen_y= 0, value= None), value= sink) [0.7329]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 262, screen_y= 36, value= None), value= sink) [1.0635]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 262, screen_y= 36, value= None), value= sink) [1.0635]']","[[840, 525, 0.1131], [840, 525, 0.1631], [667, 0, 0.7329], [262, 36, 1.0635], [262, 36, 1.0635]]"
000000032285.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 98.51502180099487, 232, 682, 112050, 3.112494893582665]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1155]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1655]', '_visuallocation(color= None, screen_x= 232, screen_y= 682, value= None) [0.2155]']","[[840, 525, 0.1155], [840, 525, 0.1655], [232, 682, 0.2155]]"
000000044816.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 96.71789407730104, 1006, 786, 45570, 3.095907001536066], ['sink', 90.86048007011414, 640, 581, 11780, 3.039655547835315]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1136]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1636]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 640, screen_y= 581, value= None), value= sink) [0.5605]', '_visuallocation(color= None, screen_x= 1006, screen_y= 786, value= None) [0.6105]']","[[840, 525, 0.1136], [840, 525, 0.1636], [640, 581, 0.5605], [1006, 786, 0.6105]]"
000000049190.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 79.20947074890138, 294, 825, 168084, 2.9182802299669057], ['toilet', 69.65632438659668, 822, 857, 50112, 2.8103718112779257]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1212]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1712]', '_visuallocation(color= None, screen_x= 822, screen_y= 857, value= None) [0.2212]']","[[840, 525, 0.1212], [840, 525, 0.1712], [822, 857, 0.2212]]"
000000050735.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 79.21636700630187, 413, 513, 117000, 2.918355575799682], ['toothbrush', 72.51423001289369, 875, 75, 5328, 2.843290409781313]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1112]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1612]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 413, screen_y= 513, value= None), value= sink) [0.6315]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 875, screen_y= 75, value= None), value= toothbrush) [1.2667]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 875, screen_y= 75, value= None), value= toothbrush) [1.2667]']","[[840, 525, 0.1112], [840, 525, 0.1612], [413, 513, 0.6315], [875, 75, 1.2667], [875, 75, 1.2667]]"
000000051583.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 98.88741374015808, 546, 729, 86247, 3.1158922984777906]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1146]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1646]', '_visuallocation(color= None, screen_x= 546, screen_y= 729, value= None) [0.2146]']","[[840, 525, 0.1146], [840, 525, 0.1646], [546, 729, 0.2146]]"
000000055627.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['toilet', 83.94212126731874, 346, 721, 169360, 2.9690418582907534], ['sink', 87.98738718032837, 1136, 620, 50622, 3.0108663139704666], ['cup', 92.45312213897705, 928, 488, 3332, 3.05384246102533], ['cup', 95.1199233531952, 990, 491, 3920, 3.080350232019579]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1222]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1722]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 928, screen_y= 488, value= None), value= cup) [0.4613]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 990, screen_y= 491, value= None), value= cup) [0.8009]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1136, screen_y= 620, value= None), value= sink) [1.2064]', '_visuallocation(color= None, screen_x= 346, screen_y= 721, value= None) [1.2564]']","[[840, 525, 0.1222], [840, 525, 0.1722], [928, 488, 0.4613], [990, 491, 0.8009], [1136, 620, 1.2064], [346, 721, 1.2564]]"
