name,object_info,actr_data,actr_data_processed
000000000939.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sink', 81.4525306224823, 660, 1035, 106860, 2.961169828421099], ['tvmonitor', 98.20526838302612, 1358, 260, 74692, 3.1282506019775083], ['sink', 87.18771934509277, 1101, 860, 39130, 3.0213086814403782]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1166]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1666]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1101, screen_y= 860, value= None), value= sink) [0.6206]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 660, screen_y= 1035, value= None), value= sink) [1.0916]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1358, screen_y= 260, value= None), value= tvmonitor) [1.552]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1358, screen_y= 260, value= None), value= tvmonitor) [1.552]']","[[840, 525, 0.1166], [840, 525, 0.1666], [1101, 860, 0.6206], [660, 1035, 1.0916], [1358, 260, 1.552], [1358, 260, 1.552]]"
000000002347.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['chair', 98.11287522315979, 431, 735, 255021, 3.1274027320864004], ['sofa', 91.81575179100037, 1251, 893, 321222, 3.0676471972189328], ['tvmonitor', 99.90025162696838, 1337, 503, 50244, 3.14365526329204]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1136]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1636]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 431, screen_y= 735, value= None), value= chair) [0.7609]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1251, screen_y= 893, value= None), value= sofa) [1.2089]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1337, screen_y= 503, value= None), value= tvmonitor) [1.8513]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1337, screen_y= 503, value= None), value= tvmonitor) [1.8513]']","[[840, 525, 0.1136], [840, 525, 0.1636], [431, 735, 0.7609], [1251, 893, 1.2089], [1337, 503, 1.8513], [1337, 503, 1.8513]]"
000000003877.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.82695579528809, 1422, 392, 81096, 3.1429950092399284], ['book', 66.17883443832396, 389, 607, 20227, 2.7881042945807515], ['chair', 72.60168194770812, 1547, 874, 55413, 2.8629507199639357], ['chair', 99.53314065933228, 921, 909, 91020, 3.1403429533210026], ['book', 72.63647317886354, 229, 769, 4785, 2.863202994840697], ['book', 74.64923858642578, 265, 771, 4416, 2.8859636887292246], ['book', 65.63032865524292, 291, 770, 3810, 2.7809470092119226]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1114]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1614]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 921, screen_y= 909, value= None), value= chair) [0.5969]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 389, screen_y= 607, value= None), value= book) [1.0655]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 291, screen_y= 770, value= None), value= book) [1.4297]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 265, screen_y= 771, value= None), value= book) [1.7217]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 229, screen_y= 769, value= None), value= book) [2.1133]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1422, screen_y= 392, value= None), value= tvmonitor) [2.5889]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1547, screen_y= 874, value= None), value= chair) [2.9759]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1547, screen_y= 874, value= None), value= chair) [2.9759]']","[[840, 525, 0.1114], [840, 525, 0.1614], [921, 909, 0.5969], [389, 607, 1.0655], [291, 770, 1.4297], [265, 771, 1.7217], [229, 769, 2.1133], [1422, 392, 2.5889], [1547, 874, 2.9759], [1547, 874, 2.9759]]"
000000004761.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['pottedplant', 99.0675151348114, 421, 481, 84280, 3.1361225685192715], ['chair', 99.53019618988036, 1387, 787, 278924, 3.140316332419537], ['tvmonitor', 99.40049052238464, 725, 298, 72280, 3.139142812998453], ['book', 91.79672002792358, 549, 617, 25300, 3.067460781449538], ['book', 64.49326872825623, 649, 700, 19780, 2.7680384401230946], ['mouse', 79.75866794586182, 897, 483, 1952, 2.921742396991948]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1122]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1622]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 897, screen_y= 483, value= None), value= mouse) [0.5217]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 725, screen_y= 298, value= None), value= tvmonitor) [0.9984]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 421, screen_y= 481, value= None), value= pottedplant) [1.3884]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 549, screen_y= 617, value= None), value= book) [1.7602]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 649, screen_y= 700, value= None), value= book) [2.0739]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1387, screen_y= 787, value= None), value= chair) [2.7273]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1387, screen_y= 787, value= None), value= chair) [2.7273]']","[[840, 525, 0.1122], [840, 525, 0.1622], [897, 483, 0.5217], [725, 298, 0.9984], [421, 481, 1.3884], [549, 617, 1.7602], [649, 700, 2.0739], [1387, 787, 2.7273], [1387, 787, 2.7273]]"
000000006725.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['chair', 99.74239468574524, 748, 818, 381908, 3.1422326147674453], ['tvmonitor', 94.81468200683594, 1243, 514, 91770, 3.0965863908487252], ['laptop', 99.79758262634277, 948, 577, 60480, 3.1427302640842494], ['keyboard', 98.81566762924194, 1037, 746, 25122, 3.133830902087231], ['mouse', 86.90035343170166, 1189, 674, 2107, 3.003303807540207], ['mouse', 80.70005774497986, 1418, 774, 4050, 2.9526258302239117]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1088]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1588]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 948, screen_y= 577, value= None), value= laptop) [0.5512]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1037, screen_y= 746, value= None), value= keyboard) [0.9639]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1189, screen_y= 674, value= None), value= mouse) [1.2994]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1243, screen_y= 514, value= None), value= tvmonitor) [1.7013]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1418, screen_y= 774, value= None), value= mouse) [2.0034]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 748, screen_y= 818, value= None), value= chair) [2.411]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 748, screen_y= 818, value= None), value= chair) [2.411]']","[[840, 525, 0.1088], [840, 525, 0.1588], [948, 577, 0.5512], [1037, 746, 0.9639], [1189, 674, 1.2994], [1243, 514, 1.7013], [1418, 774, 2.0034], [748, 818, 2.411], [748, 818, 2.411]]"
000000008064.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['diningtable', 72.26132750511171, 523, 1015, 126028, 2.8590541794949584], ['chair', 93.71964931488036, 731, 1013, 81896, 3.0861201694297717], ['tvmonitor', 98.90124797821044, 600, 556, 23986, 3.1346103376628625], ['chair', 68.06477308273314, 1208, 665, 16554, 2.8103574027186506], ['chair', 97.3971426486969, 1360, 673, 22977, 3.120806103526624], ['chair', 92.78895258903505, 864, 827, 15939, 3.077133439394108]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1195]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1695]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 600, screen_y= 556, value= None), value= tvmonitor) [0.5706]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 864, screen_y= 827, value= None), value= chair) [1.0816]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 731, screen_y= 1013, value= None), value= chair) [1.4562]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 523, screen_y= 1015, value= None), value= diningtable) [1.8173]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1208, screen_y= 665, value= None), value= chair) [2.2132]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1360, screen_y= 673, value= None), value= chair) [2.5952]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1360, screen_y= 673, value= None), value= chair) [2.5952]']","[[840, 525, 0.1195], [840, 525, 0.1695], [600, 556, 0.5706], [864, 827, 1.0816], [731, 1013, 1.4562], [523, 1015, 1.8173], [1208, 665, 2.2132], [1360, 673, 2.5952], [1360, 673, 2.5952]]"
000000012983.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sofa', 98.13156127929688, 1246, 978, 297783, 3.127574277520798], ['tvmonitor', 99.8544692993164, 589, 826, 75168, 3.1432429153112817], ['remote', 66.00950956344603, 842, 803, 689, 2.348213815521234]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1153]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1653]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 842, screen_y= 803, value= None), value= remote) [0.5258]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 589, screen_y= 826, value= None), value= tvmonitor) [1.0724]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1246, screen_y= 978, value= None), value= sofa) [1.5605]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1246, screen_y= 978, value= None), value= sofa) [1.5605]']","[[840, 525, 0.1153], [840, 525, 0.1653], [842, 803, 0.5258], [589, 826, 1.0724], [1246, 978, 1.5605], [1246, 978, 1.5605]]"
000000019022.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.78588819503784, 1337, 619, 138648, 3.1426248364536407], ['refrigerator', 94.24586296081543, 589, 686, 48150, 3.0911641926800395], ['chair', 77.84896492958069, 163, 848, 61984, 2.9219319149707594], ['chair', 99.73268508911131, 332, 848, 83930, 3.1421450286312673]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1168]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1668]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 589, screen_y= 686, value= None), value= refrigerator) [0.6377]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 332, screen_y= 848, value= None), value= chair) [1.0944]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 163, screen_y= 848, value= None), value= chair) [1.5188]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1337, screen_y= 619, value= None), value= tvmonitor) [2.0538]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1337, screen_y= 619, value= None), value= tvmonitor) [2.0538]']","[[840, 525, 0.1168], [840, 525, 0.1668], [589, 686, 0.6377], [332, 848, 1.0944], [163, 848, 1.5188], [1337, 619, 2.0538], [1337, 619, 2.0538]]"
000000025388.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['sofa', 97.61794805526732, 1095, 810, 195580, 3.1228465662856033], ['tvmonitor', 98.65946769714355, 543, 699, 51728, 3.1324064206269067], ['vase', 92.72896647453308, 1058, 825, 7650, 3.076547603547793]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1171]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1671]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 543, screen_y= 699, value= None), value= tvmonitor) [0.6637]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1058, screen_y= 825, value= None), value= vase) [1.2874]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1095, screen_y= 810, value= None), value= sofa) [1.4765]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1095, screen_y= 810, value= None), value= sofa) [1.4765]']","[[840, 525, 0.1171], [840, 525, 0.1671], [543, 699, 0.6637], [1058, 825, 1.2874], [1095, 810, 1.4765], [1095, 810, 1.4765]]"
000000030947.jpg,"[['center_bias', 99, 840, 525, 1000, 0.3], ['tvmonitor', 99.71402883529665, 1311, 421, 146289, 3.14197671227215], ['keyboard', 99.76725578308105, 1199, 726, 123826, 3.1424568335231937], ['book', 62.11938261985779, 362, 735, 62988, 2.7395165173223583], ['book', 69.71907019615172, 237, 487, 19890, 2.829694079036599], ['book', 64.74865078926085, 271, 486, 18825, 2.7710889361760533], ['book', 77.00516581535341, 344, 482, 18574, 2.9125907115302527], ['book', 70.65667510032655, 410, 484, 18500, 2.8405737670806093], ['bottle', 85.94664931297302, 1546, 605, 16038, 3.008544336615388], ['mouse', 88.24630975723267, 1526, 751, 12827, 3.032084498742804], ['remote', 78.94538640975951, 544, 839, 14628, 2.9339840889650444]]","['_visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 840, screen_y= 525, value= ), value= center_bias) [0.1212]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 840, screen_y= 525, value= None), value= center_bias) [0.1712]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1199, screen_y= 726, value= None), value= keyboard) [0.6889]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1311, screen_y= 421, value= None), value= tvmonitor) [1.111]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1546, screen_y= 605, value= None), value= bottle) [1.5275]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1526, screen_y= 751, value= None), value= mouse) [1.911]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 544, screen_y= 839, value= None), value= remote) [2.4596]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 362, screen_y= 735, value= None), value= book) [2.7834]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 344, screen_y= 482, value= None), value= book) [3.2585]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 410, screen_y= 484, value= None), value= book) [3.5303]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 271, screen_y= 486, value= None), value= book) [3.9431]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 237, screen_y= 487, value= None), value= book) [4.2429]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 237, screen_y= 487, value= None), value= book) [4.2429]']","[[840, 525, 0.1212], [840, 525, 0.1712], [1199, 726, 0.6889], [1311, 421, 1.111], [1546, 605, 1.5275], [1526, 751, 1.911], [544, 839, 2.4596], [362, 735, 2.7834], [344, 482, 3.2585], [410, 484, 3.5303], [271, 486, 3.9431], [237, 487, 4.2429], [237, 487, 4.2429]]"
